section,artifact,package_bucket,include_in_current_supplement,exists,status,tracked_in_reproducibility,size_bytes,anonymization_findings,role,next_action
Human Audit,outputs/agent_memory_human_audit_labeling_dashboard_zh.md,protocol_appendix_candidate,False,True,ready_for_labeling,True,6904,,逐条列出 priority20/full80 盲审表的缺失 human_* 字段、下一批待标注样本和分布进度。,人工填写时按 dashboard 的 review_order 逐步完成 required human_* 字段。
Human Audit,outputs/agent_memory_human_audit_priority20_review_packet_zh.md,protocol_appendix_candidate,False,True,ready_for_labeling,True,15963,,20 条优先人工复核阅读包。,人工填写 blind review CSV 的 human_* 字段。
Reproducibility,outputs/agent_memory_reproducibility_checklist_zh.md,internal_review_gate,False,True,pass,False,40387,,artifact、指标阈值、数据规模、复现命令和环境入口清单。,新增任何 artifact 后重新生成。
Reproducibility,outputs/agent_memory_artifact_integrity_manifest_zh.md,internal_review_gate,False,True,pass,True,3795,,复现 artifact sha256、大小和行数 manifest。,每次结果更新后重新生成。
Reproducibility,outputs/agent_memory_environment_freshness_audit_zh.md,internal_review_gate,False,True,pass,True,1337,,环境快照的 generation-time Git 状态和 system CSV 新鲜度审计。,提交前后若刷新环境快照，应重新运行 freshness audit。
Reproducibility,outputs/agent_memory_untracked_artifact_audit_zh.md,internal_review_gate,False,True,classified,True,4131,,未跟踪本地输出、临时数据和探索性结果的公开发布审计。,公开发布前确认 keep_untracked/local 项仍不属于论文正式 artifact。
Reproducibility,outputs/agent_memory_paper_artifact_refresh_run_zh.md,internal_review_gate,False,True,pass,True,5980,,离线论文 artifact 刷新流水线的逐步执行日志。,补完 API baseline 或人工标签后运行该流水线收口所有报告。
Reproducibility,outputs/agent_memory_paper_refresh_coverage_audit_zh.md,internal_review_gate,False,True,pass,True,8761,,检查离线刷新流水线是否覆盖关键论文报告步骤。,新增关键 paper artifact 后同步更新 coverage audit 的 required steps。
Submission Gate,outputs/agent_memory_submission_blocker_closure_plan_zh.md,internal_review_gate,False,True,ready_with_external_inputs,True,3600,,外部 embedding、人审、reviewer risk 和最终一致性刷新的 blocker 关闭路线图。,按路线先解除 external embedding 和 human audit blockers。
Submission Gate,outputs/agent_memory_submission_entrypoint_consistency_zh.md,internal_review_gate,False,True,ready,True,2106,,检查 README、package index 和 reproducibility checklist 是否统一指向当前投稿门禁 artifact。,每次重命名或替换投稿门禁 artifact 后重新运行。
Submission Gate,outputs/agent_memory_submission_readiness_zh.md,exclude_until_blocker_closed,False,True,not_ready,True,2550,,最终投稿门禁，聚合复现、claim check、外部 baseline、人工复核和公开发布卫生。,解除 external_embedding_completed、priority20/full80_human_audit 和 reviewer_risk_blockers。
