case,query_type,split_seed,query_id,query,delta_mrr,baseline_first_rank,candidate_first_rank,baseline_top_memory_id,baseline_top_memory_type,baseline_top_memory_text,candidate_top_memory_id,candidate_top_memory_type,candidate_top_memory_text,gold_memory_ids,gold_memory_types,gold_memory_texts
worsened,4,13,q00265,What book is Jon currently reading?,-0.5,1,2,llm_00297,hobby,Jon is reading 'The Lean Startup' to get tips for his business.,llm_01029,hobby,Tim is currently reading a book and is hooked on it.,llm_00297,hobby,Jon is reading 'The Lean Startup' to get tips for his business.
improved,3,13,q01193,What additional country did James visit during his trip to Canada?,0.5,2,1,llm_01589,plan,James plans to visit Vancouver in addition to Toronto.,llm_01599,event,"James recently traveled to Nuuk, adding another country to his bucket list.",llm_01599,event,"James recently traveled to Nuuk, adding another country to his bucket list."
worsened,2,13,q00216,When did Jon go to a fair to get more exposure for his dance studio?,-0.19047619047619047,3,7,llm_00285,event,"Jon lost his job, which motivated him to start his dance studio.",llm_00285,event,"Jon lost his job, which motivated him to start his dance studio.",llm_00275|llm_00276,event|work,"Jon attended a fair yesterday to showcase his studio and got some possible leads. || Jon runs a business (studio) and finds it challenging, learning that confidence is important for success."
tied,2,13,q00006,When did Melanie run a charity race?,0.0,1,1,llm_00011,event,Melanie ran a charity race for mental health last Saturday.,llm_00011,event,Melanie ran a charity race for mental health last Saturday.,llm_00011,event,Melanie ran a charity race for mental health last Saturday.
tied,2,13,q00009,When did Caroline give a speech at a school?,0.0,1,1,llm_00020,event,Caroline gave a talk at a school event last week about her transgender journey and encouraged students to get involved in the LGBTQ community.,llm_00020,event,Caroline gave a talk at a school event last week about her transgender journey and encouraged students to get involved in the LGBTQ community.,llm_00019|llm_00020,event|identity,Caroline is a transgender woman who started transitioning three years ago. || Caroline gave a talk at a school event last week about her transgender journey and encouraged students to get involved in the LGBTQ community.
tied,1,13,q00012,Where did Caroline move from 4 years ago?,0.0,1,1,llm_00022,relationship,"Caroline has known her close friends for 4 years, since she moved from her home country.",llm_00022,relationship,"Caroline has known her close friends for 4 years, since she moved from her home country.",llm_00022|llm_00023|llm_00029|llm_00030,emotion|family|identity|relationship,"Caroline has known her close friends for 4 years, since she moved from her home country. || Caroline went through a tough breakup, and her friends' support was especially important during that time. || Caroline is from Sweden."
tied,3,13,q00060,Would Caroline be considered religious?,0.0,1,1,llm_00107,event,"Caroline recently had a negative experience on a hike when she encountered religious conservatives who upset her, making her think about the work needed for LGBTQ rights.",llm_00107,event,"Caroline recently had a negative experience on a hike when she encountered religious conservatives who upset her, making her think about the work needed for LGBTQ rights.",llm_00131|llm_00133|llm_00107|llm_00108,event|identity,"Caroline is a transgender woman. || Caroline made a stained glass window for a local church, inspired by her journey as a transgender woman. || Caroline recently had a negative experience on a hike when she encountered religious conservatives who upset her, making her think about the work needed for LGBTQ rights."
tied,4,13,q00087,What type of individuals does the adoption agency Caroline is considering support?,0.0,1,1,llm_00015,preference,Caroline chose an adoption agency because it helps LGBTQ+ folks with adoption.,llm_00015,preference,Caroline chose an adoption agency because it helps LGBTQ+ folks with adoption.,llm_00015,preference,Caroline chose an adoption agency because it helps LGBTQ+ folks with adoption.
tied,4,13,q00092,What does Caroline's necklace symbolize?,0.0,1,1,llm_00030,family,"Caroline's grandma gave her a necklace from Sweden that symbolizes love, faith, and strength.",llm_00030,family,"Caroline's grandma gave her a necklace from Sweden that symbolizes love, faith, and strength.",llm_00029|llm_00030,family|identity,"Caroline is from Sweden. || Caroline's grandma gave her a necklace from Sweden that symbolizes love, faith, and strength."
tied,5,13,q00159,What country is Melanie's grandma from?,0.0,1,1,llm_00030,family,"Caroline's grandma gave her a necklace from Sweden that symbolizes love, faith, and strength.",llm_00030,family,"Caroline's grandma gave her a necklace from Sweden that symbolizes love, faith, and strength.",llm_00029|llm_00030,family|identity,"Caroline is from Sweden. || Caroline's grandma gave her a necklace from Sweden that symbolizes love, faith, and strength."
tied,5,13,q00164,What kind of counseling and mental health services is Melanie interested in pursuing?,0.0,1,1,llm_00034,goal,Caroline is exploring a career in counseling and mental health.,llm_00034,goal,Caroline is exploring a career in counseling and mental health.,llm_00034|llm_00035|llm_00036,event|goal,Caroline is exploring a career in counseling and mental health. || Caroline wants to work with trans people to help them accept themselves and support their mental health. || Caroline attended an LGBTQ+ counseling workshop last Friday.
tied,1,13,q00229,Which cities has Jon visited?,0.0,1,1,llm_00208,event,Jon visited Paris yesterday.,llm_00208,event,Jon visited Paris yesterday.,llm_00207|llm_00208|llm_00209|llm_00210|llm_00326,event|goal|plan,Jon is looking for a spot for his dance studio. || Jon visited Paris yesterday. || Jon found a potential spot for his dance studio downtown with great natural light.
tied,3,13,q00790,Which US states might Tim be in during September 2023 based on his plans of visiting Universal Studios?,0.0,1,1,llm_00988,plan,Tim is planning a trip to Universal Studios next month.,llm_00988,plan,Tim is planning a trip to Universal Studios next month.,llm_00987|llm_00988|llm_00990,plan|preference,Tim loves experimenting with spices. || Tim is planning a trip to Universal Studios next month. || Tim is going to Universal Studios for the first time and is excited about the Harry Potter stuff.
