split_seed,query_id,query_type,rank,memory_id,memory_type,memory_text,learned_score,is_relevant
13,q00012,1,8,llm_00083,identity,Caroline is a transgender woman.,0.2021799422665707,False
13,q00012,1,9,llm_00046,preference,Caroline is passionate about helping people and making a positive impact.,0.19474566201203106,False
13,q00012,1,10,llm_00131,identity,Caroline is a transgender woman.,0.1597859402670955,False
13,q00013,2,1,llm_00031,event,Caroline treasures a hand-painted bowl given by a friend for her 18th birthday ten years ago.,0.5923589457159646,True
13,q00013,2,2,llm_00153,hobby,Caroline has been creating art since she was 17.,0.36667214307138557,False
13,q00013,2,3,llm_00125,identity,Caroline is an advocate for LGBTQ rights and wants to live authentically.,0.14055389382913747,False
13,q00013,2,4,llm_00046,preference,Caroline is passionate about helping people and making a positive impact.,0.13300526630784731,False
13,q00013,2,5,llm_00083,identity,Caroline is a transgender woman.,0.10490059053954037,False
13,q00013,2,6,llm_00171,identity,Caroline is a transgender woman.,0.09486842330223891,False
13,q00013,2,7,llm_00102,identity,Caroline is a transgender woman.,0.09254197492102015,False
13,q00013,2,8,llm_00131,identity,Caroline is a transgender woman.,0.0915830696256166,False
13,q00013,2,9,llm_00185,identity,Caroline is a transgender woman.,0.08994985217647239,False
13,q00013,2,10,llm_00052,identity,Caroline is a transgender woman.,0.08775937807468363,False
13,q00021,2,1,llm_00047,event,Melanie took her kids to the museum yesterday and they enjoyed the dinosaur exhibit.,0.9564438096161332,True
13,q00021,2,2,llm_00174,event,Melanie went on a road trip with her family over the past weekend.,0.5513124686779813,False
13,q00021,2,3,llm_00077,family,Melanie's family supported her during her move.,0.256419649719935,False
13,q00021,2,4,llm_00042,event,Melanie signed up for a pottery class yesterday.,0.16914587719095392,False
13,q00021,2,5,llm_00147,hobby,Melanie plays the clarinet and started when she was young.,0.16710947953322824,False
13,q00021,2,6,llm_00151,family,Melanie has kids.,0.15699928234175795,False
13,q00021,2,7,llm_00159,event,Melanie had a good time at a café last weekend.,0.15197454004132446,False
13,q00021,2,8,llm_00137,plan,Melanie is planning to paint autumn-inspired paintings.,0.12845607726884684,False
13,q00021,2,9,llm_00080,event,Melanie went camping with her family two weekends ago.,0.12300447223639344,False
13,q00021,2,10,llm_00121,hobby,Melanie recently painted a horse.,0.10359480174244524,False
13,q00025,1,1,llm_00076,preference,Melanie finds peace through creativity and family.,0.6198459963475613,False
13,q00025,1,2,llm_00151,family,Melanie has kids.,0.5175784973920313,False
13,q00025,1,3,llm_00027,preference,Melanie cherishes time with family and feels alive and happy when spending time with them.,0.44260794181841306,False
13,q00025,1,4,llm_00065,health,Melanie has been running longer distances to de-stress and clear her mind.,0.4396797704977093,True
13,q00025,1,5,llm_00109,hobby,Melanie finished a pottery project and is proud of it.,0.426067501847889,False
13,q00025,1,6,llm_00026,family,Melanie's family motivates her and gives her love.,0.3557812990774704,False
13,q00025,1,7,llm_00166,hobby,Melanie is doing okay now and has been reading a book recommended by Caroline and painting to keep busy.,0.32330799510956487,False
13,q00025,1,8,llm_00012,goal,"Melanie is prioritizing self-care and carving out me-time each day for running, reading, or playing violin.",0.3111586185070698,False
13,q00025,1,9,llm_00099,family,Melanie has kids and enjoys spending time with them.,0.2959961282074548,False
13,q00025,1,10,llm_00111,emotion,"Melanie feels a strong connection to art, which serves as a sanctuary and source of comfort.",0.27454883197561875,False
13,q00029,2,1,llm_00070,event,Caroline attended a council meeting for adoption last Friday and felt inspired and emotional.,0.975340418174009,True
13,q00029,2,2,llm_00116,event,Caroline attended an adoption advice/assistance group.,0.8272852531113197,False
13,q00029,2,3,llm_00182,event,Caroline passed the adoption agency interviews last Friday (20 October 2023).,0.4178603699412046,False
13,q00029,2,4,llm_00115,goal,Caroline applied to adoption agencies as the first step towards becoming a mom.,0.39631501199180746,False
13,q00029,2,5,llm_00017,emotion,Caroline feels hopeful and optimistic about the adoption process.,0.21176532021683678,False
13,q00029,2,6,llm_00160,goal,Caroline is ready to become a mom and has contacted her mentor for adoption advice.,0.20717638043252948,False
13,q00029,2,7,llm_00183,goal,Caroline's goal is to build her own family through adoption and provide a home for kids who haven't had one.,0.20704256121348638,False
13,q00029,2,8,llm_00015,preference,Caroline chose an adoption agency because it helps LGBTQ+ folks with adoption.,0.17887110094570516,False
13,q00029,2,9,llm_00164,other,"Caroline gave Melanie tips on starting adoption: research, find an agency or lawyer, gather documents, and prepare emotionally.",0.13961698871573244,False
13,q00029,2,10,llm_00119,hobby,Caroline used to go horseback riding with her dad as a kid.,0.1360370493046275,False
13,q00033,1,1,llm_00152,work,Caroline volunteers for the LGBTQ+ community.,0.7563761588107359,False
13,q00033,1,2,llm_00101,work,Caroline is an artist who uses her art to advocate for LGBTQ+ rights and inclusivity.,0.600834197766386,False
13,q00033,1,3,llm_00138,plan,Caroline is organizing an LGBTQ art show next month and will show her paintings.,0.527290606450458,False
13,q00033,1,4,llm_00089,identity,Caroline is passionate about LGBTQ rights and community support.,0.5014080957843362,False
13,q00033,1,5,llm_00084,event,Caroline attended the LGBT pride event last month with her mentee.,0.4478063066404683,False
13,q00033,1,6,llm_00088,event,Caroline joined a new LGBTQ activist group called 'Connected LGBTQ Activists' last Tuesday.,0.39294723649469426,False
13,q00033,1,7,llm_00036,event,Caroline attended an LGBTQ+ counseling workshop last Friday.,0.3836811274570111,False
13,q00033,1,8,llm_00141,event,Caroline shared her personal story with the youth at the LGBTQ+ center to let them know they are not alone.,0.36941919167320575,False
13,q00033,1,9,llm_00090,other,Connected LGBTQ Activists: Caroline's activist group 'Connected LGBTQ Activists' holds regular meetings and plans events and campaigns.,0.3252249218529119,False
13,q00033,1,10,llm_00057,goal,Caroline is passionate about fighting for trans rights and spreading awareness.,0.3126338021549049,False
13,q00035,1,1,llm_00116,event,Caroline attended an adoption advice/assistance group.,0.5678975531091853,False
13,q00035,1,2,llm_00089,identity,Caroline is passionate about LGBTQ rights and community support.,0.5167026559075151,False
13,q00035,1,3,llm_00046,preference,Caroline is passionate about helping people and making a positive impact.,0.4840227030069713,False
13,q00035,1,4,llm_00101,work,Caroline is an artist who uses her art to advocate for LGBTQ+ rights and inclusivity.,0.42632670549783064,False
13,q00035,1,5,llm_00152,work,Caroline volunteers for the LGBTQ+ community.,0.41644960476225906,False
13,q00035,1,6,llm_00161,goal,"Caroline wants to adopt to provide a safe, loving home for kids who need it.",0.3554616335681239,False
13,q00035,1,7,llm_00059,health,"Caroline struggled with mental health and received helpful support, motivating her to help others.",0.3549435133412876,False
13,q00035,1,8,llm_00057,goal,Caroline is passionate about fighting for trans rights and spreading awareness.,0.32142743434211474,False
13,q00035,1,9,llm_00081,plan,Caroline joined a mentorship program for LGBTQ youth last weekend.,0.3007350238021541,True
13,q00035,1,10,llm_00108,identity,Caroline is part of the LGBTQ community and values supportive people around her.,0.27765824790082316,False
13,q00036,2,1,llm_00080,event,Melanie went camping with her family two weekends ago.,0.7014241647289924,True
13,q00036,2,2,llm_00078,event,Melanie and her family went on a camping trip in the forest.,0.5486679841538346,False
13,q00036,2,3,llm_00032,event,Melanie went camping with her family in the mountains last week.,0.45728144540511284,False
13,q00036,2,4,llm_00150,event,Melanie went camping with her kids a few weeks ago and had a blast.,0.2646348301883455,False
13,q00036,2,5,llm_00094,family,Melanie's family has a tradition of going on a camping trip every summer.,0.2527404160094331,False
13,q00036,2,6,llm_00178,event,Melanie went camping with her family yesterday and the kids loved it.,0.25137772954812526,False
13,q00036,2,7,llm_00179,preference,Melanie loves camping trips with her family because nature brings peace and serenity.,0.22807799662850883,False
13,q00036,2,8,llm_00180,hobby,"Melanie enjoys bonding with her family over stories, campfires, and nature during camping trips.",0.210173645338061,False
13,q00036,2,9,llm_00181,preference,Melanie finds peace in waking up to the sound of birds and fresh air while camping.,0.1746201844685781,False
13,q00036,2,10,llm_00095,event,Melanie's best camping memory is seeing the Perseid meteor shower during a camping trip last year.,0.1509444916786243,False
13,q00050,2,1,llm_00112,event,Caroline and Melanie attended Pride fest last year and had a blast.,0.9614951653459102,True
13,q00050,2,2,llm_00113,plan,"Caroline and Melanie plan to do something special together this summer, possibly a family outing or a trip just the two of them.",0.3133512491477729,False
13,q00050,2,3,llm_00114,relationship,Caroline and Melanie are close friends who support each other.,0.22522454849725876,False
13,q00050,2,4,llm_00191,relationship,Caroline and Melanie have a supportive friendship and are there for each other.,0.13001286815414603,False
13,q00050,2,5,llm_00084,event,Caroline attended the LGBT pride event last month with her mentee.,0.09202293939356683,False
13,q00050,2,6,llm_00074,event,"Caroline attended a pride parade a few weeks ago and felt accepted, happy, and proud.",0.09122805403892183,False
13,q00050,2,7,llm_00100,event,Caroline attended a pride parade last Friday (around 11 August 2023) and found it inspiring.,0.08656745185977428,False
13,q00050,2,8,llm_00091,event,Caroline missed the pride parade in her city last weekend.,0.07311780588304148,False
13,q00050,2,9,llm_00134,event,Caroline saw a rainbow sidewalk for Pride Month in her neighborhood.,0.05679919205193417,False
13,q00050,2,10,llm_00069,event,Melanie and her kids painted a nature-inspired painting together last weekend.,0.04441389907468795,False
13,q00051,3,1,llm_00002,identity,Caroline is transgender.,0.23056832573156558,False
13,q00051,3,2,llm_00131,identity,Caroline is a transgender woman.,0.20487739040999664,False
13,q00051,3,3,llm_00052,identity,Caroline is a transgender woman.,0.1595682337964214,False
13,q00051,3,4,llm_00102,identity,Caroline is a transgender woman.,0.14952334827702343,False
13,q00051,3,5,llm_00155,identity,Caroline is a transgender woman.,0.14637093427247877,False
13,q00051,3,6,llm_00083,identity,Caroline is a transgender woman.,0.14178852044214846,False
13,q00051,3,7,llm_00034,goal,Caroline is exploring a career in counseling and mental health.,0.11833372119459125,False
13,q00051,3,8,llm_00171,identity,Caroline is a transgender woman.,0.10744651348233554,False
13,q00051,3,9,llm_00045,goal,Caroline is exploring counseling or mental health work as a career.,0.10499931248596622,False
13,q00051,3,10,llm_00185,identity,Caroline is a transgender woman.,0.09804614438463763,False
13,q00060,3,1,llm_00107,event,"Caroline recently had a negative experience on a hike when she encountered religious conservatives who upset her, making her think about the work needed for LGBTQ rights.",0.38132597016209496,True
13,q00060,3,2,llm_00052,identity,Caroline is a transgender woman.,0.2632530438287693,False
13,q00060,3,3,llm_00002,identity,Caroline is transgender.,0.2385216828554114,False
13,q00060,3,4,llm_00152,work,Caroline volunteers for the LGBTQ+ community.,0.20773059196598442,False
13,q00060,3,5,llm_00131,identity,Caroline is a transgender woman.,0.1968278074057743,True
13,q00060,3,6,llm_00155,identity,Caroline is a transgender woman.,0.17856468844876972,False
13,q00060,3,7,llm_00185,identity,Caroline is a transgender woman.,0.17795470919779016,False
13,q00060,3,8,llm_00171,identity,Caroline is a transgender woman.,0.15644524874656363,False
13,q00060,3,9,llm_00083,identity,Caroline is a transgender woman.,0.13394361985178627,False
13,q00060,3,10,llm_00089,identity,Caroline is passionate about LGBTQ rights and community support.,0.1255417021163902,False
13,q00062,1,1,llm_00144,event,Melanie attended a concert by the band 'Summer Sounds' and enjoyed their pop music.,0.7470405690871309,True
13,q00062,1,2,llm_00151,family,Melanie has kids.,0.6431740775376081,False
13,q00062,1,3,llm_00148,preference,"Melanie enjoys classical music like Bach and Mozart, as well as modern music like Ed Sheeran's 'Perfect'.",0.5574605283381217,False
13,q00062,1,4,llm_00024,family,Melanie is married and has kids.,0.4065510773810976,False
13,q00062,1,5,llm_00147,hobby,Melanie plays the clarinet and started when she was young.,0.371305966893562,False
13,q00062,1,6,llm_00159,event,Melanie had a good time at a café last weekend.,0.3634363522213749,False
13,q00062,1,7,llm_00111,emotion,"Melanie feels a strong connection to art, which serves as a sanctuary and source of comfort.",0.35362834928451664,False
13,q00062,1,8,llm_00099,family,Melanie has kids and enjoys spending time with them.,0.3375754649572419,False
13,q00062,1,9,llm_00174,event,Melanie went on a road trip with her family over the past weekend.,0.29145314902799246,False
13,q00062,1,10,llm_00154,hobby,"Melanie has been into art for seven years, focusing on painting and pottery.",0.21352099276995687,False
13,q00066,1,1,llm_00075,identity,Caroline is a transgender woman and has found the courage to transition.,0.5512584138774994,False
13,q00066,1,2,llm_00058,goal,Caroline is exploring counseling and mental health career options.,0.3987989665423977,False
13,q00066,1,3,llm_00156,emotion,Caroline used art to explore her gender identity and during her transition.,0.3767717433994546,False
13,q00066,1,4,llm_00158,relationship,"Caroline's relationships changed after her transition; some friends stopped supporting her, but she is happier with those who accept her.",0.3743447748786503,True
13,q00066,1,5,llm_00045,goal,Caroline is exploring counseling or mental health work as a career.,0.30922846456251996,False
13,q00066,1,6,llm_00034,goal,Caroline is exploring a career in counseling and mental health.,0.290065652238369,False
13,q00066,1,7,llm_00187,goal,Caroline wants to pass on the support she received during her transition to others who need it.,0.2519954585225639,False
13,q00066,1,8,llm_00019,identity,Caroline is a transgender woman who started transitioning three years ago.,0.25091738470915936,False
13,q00066,1,9,llm_00186,emotion,"Caroline's transition and self-acceptance were difficult, but she received invaluable help from friends, family, and people she looked up to.",0.24571702668776682,False
13,q00066,1,10,llm_00002,identity,Caroline is transgender.,0.24073353437171766,False
13,q00068,2,1,llm_00149,event,Caroline went biking with friends last weekend and enjoyed it.,0.9959513790700846,True
13,q00068,2,2,llm_00053,event,Caroline had a picnic with friends and family last week.,0.1914989125056453,False
13,q00068,2,3,llm_00119,hobby,Caroline used to go horseback riding with her dad as a kid.,0.16183982287044152,False
13,q00068,2,4,llm_00171,identity,Caroline is a transgender woman.,0.11843863773094002,False
13,q00068,2,5,llm_00185,identity,Caroline is a transgender woman.,0.11227003799948966,False
13,q00068,2,6,llm_00126,event,"Caroline went hiking last week and got into a bad spot with some people, and she apologized to them.",0.085191269312259,False
13,q00068,2,7,llm_00022,relationship,"Caroline has known her close friends for 4 years, since she moved from her home country.",0.07838290597446027,False
13,q00068,2,8,llm_00001,event,Caroline attended an LGBTQ support group yesterday and found it powerful.,0.07638722525865904,False
13,q00068,2,9,llm_00152,work,Caroline volunteers for the LGBTQ+ community.,0.06855916804216458,False
13,q00068,2,10,llm_00084,event,Caroline attended the LGBT pride event last month with her mentee.,0.06796833991833928,False
13,q00069,2,1,llm_00154,hobby,"Melanie has been into art for seven years, focusing on painting and pottery.",0.9626788963358551,True
13,q00069,2,2,llm_00137,plan,Melanie is planning to paint autumn-inspired paintings.,0.1674482558653052,False
13,q00069,2,3,llm_00136,preference,Melanie's favorite art type is painting landscapes and still life.,0.160787230993581,False
13,q00069,2,4,llm_00025,relationship,Melanie has been married for 5 years.,0.15114184979265755,False
13,q00069,2,5,llm_00151,family,Melanie has kids.,0.14501045601206702,False
13,q00069,2,6,llm_00012,goal,"Melanie is prioritizing self-care and carving out me-time each day for running, reading, or playing violin.",0.10914816567434597,False
13,q00069,2,7,llm_00122,hobby,"Melanie loves painting animals, especially horses.",0.10209048181429775,False
13,q00069,2,8,llm_00147,hobby,Melanie plays the clarinet and started when she was young.,0.10137534110926642,False
13,q00069,2,9,llm_00043,preference,Melanie considers pottery a huge part of her life and a way to express emotions.,0.09951193725742316,False
13,q00069,2,10,llm_00121,hobby,Melanie recently painted a horse.,0.08119032603377697,False
13,q00072,1,1,llm_00166,hobby,Melanie is doing okay now and has been reading a book recommended by Caroline and painting to keep busy.,0.6373128701655625,True
13,q00072,1,2,llm_00051,preference,Melanie's favorite childhood book was 'Charlotte's Web'.,0.5589652296873072,False
13,q00072,1,3,llm_00114,relationship,Caroline and Melanie are close friends who support each other.,0.24318362713015462,False
13,q00072,1,4,llm_00159,event,Melanie had a good time at a café last weekend.,0.2193779611414979,False
13,q00072,1,5,llm_00061,preference,"Caroline's favorite book is 'Becoming Nicole' by Amy Ellis Nutt, which inspired her.",0.16792998973616358,True
13,q00072,1,6,llm_00026,family,Melanie's family motivates her and gives her love.,0.15568673345238565,False
13,q00072,1,7,llm_00191,relationship,Caroline and Melanie have a supportive friendship and are there for each other.,0.14965752150728515,False
13,q00072,1,8,llm_00163,goal,Melanie is considering adoption herself after hearing about her friend's experience.,0.14194186941960224,False
13,q00072,1,9,llm_00077,family,Melanie's family supported her during her move.,0.13030882243977068,False
13,q00072,1,10,llm_00151,family,Melanie has kids.,0.12470719695024966,False
13,q00075,2,1,llm_00174,event,Melanie went on a road trip with her family over the past weekend.,0.9344069340232597,True
13,q00075,2,2,llm_00175,event,Melanie's family visited the Grand Canyon during their road trip and enjoyed it.,0.35836710251691867,False
13,q00075,2,3,llm_00078,event,Melanie and her family went on a camping trip in the forest.,0.345945547777368,False
13,q00075,2,4,llm_00178,event,Melanie went camping with her family yesterday and the kids loved it.,0.2438787120051277,False
13,q00075,2,5,llm_00094,family,Melanie's family has a tradition of going on a camping trip every summer.,0.23911521269853392,False
13,q00075,2,6,llm_00173,event,"Melanie's son was in a car accident during a road trip over the past weekend, but he was okay.",0.18750784477613447,True
13,q00075,2,7,llm_00077,family,Melanie's family supported her during her move.,0.18371539232787565,False
13,q00075,2,8,llm_00180,hobby,"Melanie enjoys bonding with her family over stories, campfires, and nature during camping trips.",0.15779556809653755,False
13,q00075,2,9,llm_00024,family,Melanie is married and has kids.,0.12454613745246776,False
13,q00075,2,10,llm_00055,family,"Melanie's family enjoys camping at the beach, which brings them closer.",0.12094302311651003,False
13,q00077,1,1,llm_00174,event,Melanie went on a road trip with her family over the past weekend.,0.7878626123601333,False
13,q00077,1,2,llm_00175,event,Melanie's family visited the Grand Canyon during their road trip and enjoyed it.,0.5971506189540279,False
13,q00077,1,3,llm_00078,event,Melanie and her family went on a camping trip in the forest.,0.5269625736929922,False
13,q00077,1,4,llm_00080,event,Melanie went camping with her family two weekends ago.,0.5144119415047363,False
13,q00077,1,5,llm_00173,event,"Melanie's son was in a car accident during a road trip over the past weekend, but he was okay.",0.3977450014347768,False
13,q00077,1,6,llm_00150,event,Melanie went camping with her kids a few weeks ago and had a blast.,0.36638772880768333,False
13,q00077,1,7,llm_00011,event,Melanie ran a charity race for mental health last Saturday.,0.3465122932413458,False
13,q00077,1,8,llm_00032,event,Melanie went camping with her family in the mountains last week.,0.30020881935164356,False
13,q00077,1,9,llm_00077,family,Melanie's family supported her during her move.,0.2491799138874871,False
13,q00077,1,10,llm_00092,event,Melanie went to the beach with her kids recently.,0.23095613263277018,False
13,q00080,2,1,llm_00182,event,Caroline passed the adoption agency interviews last Friday (20 October 2023).,0.9408139614791651,True
13,q00080,2,2,llm_00116,event,Caroline attended an adoption advice/assistance group.,0.36789650555489356,False
13,q00080,2,3,llm_00017,emotion,Caroline feels hopeful and optimistic about the adoption process.,0.3508573734150438,False
13,q00080,2,4,llm_00184,preference,Caroline sees adoption as a way of giving back and showing love and acceptance.,0.22765919877693439,False
13,q00080,2,5,llm_00015,preference,Caroline chose an adoption agency because it helps LGBTQ+ folks with adoption.,0.16923047716165893,False
13,q00080,2,6,llm_00152,work,Caroline volunteers for the LGBTQ+ community.,0.12463832805080372,False
13,q00080,2,7,llm_00160,goal,Caroline is ready to become a mom and has contacted her mentor for adoption advice.,0.12103796054538747,False
13,q00080,2,8,llm_00056,event,Caroline attended an LGBTQ conference two days ago and felt accepted and welcomed.,0.1202366202002359,False
13,q00080,2,9,llm_00070,event,Caroline attended a council meeting for adoption last Friday and felt inspired and emotional.,0.11351640229226402,False
13,q00080,2,10,llm_00183,goal,Caroline's goal is to build her own family through adoption and provide a home for kids who haven't had one.,0.0834035075772625,False
13,q00086,4,1,llm_00113,plan,"Caroline and Melanie plan to do something special together this summer, possibly a family outing or a trip just the two of them.",0.5581497268338217,False
13,q00086,4,2,llm_00046,preference,Caroline is passionate about helping people and making a positive impact.,0.444447818356406,False
13,q00086,4,3,llm_00152,work,Caroline volunteers for the LGBTQ+ community.,0.36439279205419634,False
13,q00086,4,4,llm_00013,plan,Melanie's kids are excited about summer break and the family is thinking about going camping next month.,0.33614190062922,False
13,q00086,4,5,llm_00034,goal,Caroline is exploring a career in counseling and mental health.,0.29290353474527303,False
13,q00086,4,6,llm_00005,plan,Caroline plans to continue her education and explore career options.,0.23867249698972426,False
13,q00086,4,7,llm_00045,goal,Caroline is exploring counseling or mental health work as a career.,0.23250381617514213,False
13,q00086,4,8,llm_00071,goal,Caroline is determined to adopt a child.,0.22188941206030702,False
13,q00086,4,9,llm_00029,identity,Caroline is from Sweden.,0.1681904810467352,False
13,q00086,4,10,llm_00016,plan,Caroline is planning to adopt as a single parent and is up for the challenge.,0.16150773963316606,False
13,q00087,4,1,llm_00015,preference,Caroline chose an adoption agency because it helps LGBTQ+ folks with adoption.,0.9958685304197191,True
13,q00087,4,2,llm_00014,goal,Caroline is researching adoption agencies with the goal of adopting children and giving them a loving home.,0.587130897648674,False
13,q00087,4,3,llm_00046,preference,Caroline is passionate about helping people and making a positive impact.,0.3674154073351692,False
13,q00087,4,4,llm_00017,emotion,Caroline feels hopeful and optimistic about the adoption process.,0.34484443368758266,False
13,q00087,4,5,llm_00182,event,Caroline passed the adoption agency interviews last Friday (20 October 2023).,0.3265737244565099,False
13,q00087,4,6,llm_00184,preference,Caroline sees adoption as a way of giving back and showing love and acceptance.,0.2527734745474971,False
13,q00087,4,7,llm_00116,event,Caroline attended an adoption advice/assistance group.,0.22954939680714476,False
13,q00087,4,8,llm_00161,goal,"Caroline wants to adopt to provide a safe, loving home for kids who need it.",0.154278378474961,False
13,q00087,4,9,llm_00152,work,Caroline volunteers for the LGBTQ+ community.,0.1453958179614153,False
13,q00087,4,10,llm_00062,emotion,Caroline learned self-acceptance and the importance of finding support from 'Becoming Nicole'.,0.140992656939111,False
13,q00092,4,1,llm_00030,family,"Caroline's grandma gave her a necklace from Sweden that symbolizes love, faith, and strength.",0.9448719089576143,True
13,q00092,4,2,llm_00052,identity,Caroline is a transgender woman.,0.3864334245021296,False
13,q00092,4,3,llm_00101,work,Caroline is an artist who uses her art to advocate for LGBTQ+ rights and inclusivity.,0.3023771679918585,False
13,q00092,4,4,llm_00083,identity,Caroline is a transgender woman.,0.29971686569764977,False
13,q00092,4,5,llm_00029,identity,Caroline is from Sweden.,0.16744546364853397,True
13,q00092,4,6,llm_00155,identity,Caroline is a transgender woman.,0.14412254225915352,False
13,q00092,4,7,llm_00102,identity,Caroline is a transgender woman.,0.1429337801970392,False
13,q00092,4,8,llm_00131,identity,Caroline is a transgender woman.,0.10708358561884514,False
13,q00092,4,9,llm_00171,identity,Caroline is a transgender woman.,0.10530141540908626,False
13,q00092,4,10,llm_00071,goal,Caroline is determined to adopt a child.,0.07124016087863352,False
13,q00096,4,1,llm_00080,event,Melanie went camping with her family two weekends ago.,0.9479726860271125,False
13,q00096,4,2,llm_00078,event,Melanie and her family went on a camping trip in the forest.,0.7529873347159908,False
13,q00096,4,3,llm_00032,event,Melanie went camping with her family in the mountains last week.,0.5907743477917015,False
13,q00096,4,4,llm_00178,event,Melanie went camping with her family yesterday and the kids loved it.,0.46849387413549787,False
13,q00096,4,5,llm_00055,family,"Melanie's family enjoys camping at the beach, which brings them closer.",0.37445298475581446,False
13,q00096,4,6,llm_00174,event,Melanie went on a road trip with her family over the past weekend.,0.36637273407605947,False
13,q00096,4,7,llm_00150,event,Melanie went camping with her kids a few weeks ago and had a blast.,0.3566314466971637,False
