scope,group,value,count,total,share,status,evidence
full80,first_rank_bucket_distribution,rank_6_10,16,80,0.2,info,first_rank_bucket_distribution=rank_6_10
full80,first_rank_bucket_distribution,rank_gt_20,13,80,0.1625,info,first_rank_bucket_distribution=rank_gt_20
full80,first_rank_bucket_distribution,rank_11_20,10,80,0.125,info,first_rank_bucket_distribution=rank_11_20
full80,top_memory_type_distribution,event,21,80,0.2625,info,top_memory_type_distribution=event
full80,top_memory_type_distribution,hobby,12,80,0.15,info,top_memory_type_distribution=hobby
full80,top_memory_type_distribution,preference,12,80,0.15,info,top_memory_type_distribution=preference
full80,top_memory_type_distribution,plan,10,80,0.125,info,top_memory_type_distribution=plan
full80,top_memory_type_distribution,family,7,80,0.0875,info,top_memory_type_distribution=family
full80,top_memory_type_distribution,goal,3,80,0.0375,info,top_memory_type_distribution=goal
full80,top_memory_type_distribution,health,3,80,0.0375,info,top_memory_type_distribution=health
full80,top_memory_type_distribution,identity,3,80,0.0375,info,top_memory_type_distribution=identity
full80,top_memory_type_distribution,work,3,80,0.0375,info,top_memory_type_distribution=work
full80,top_memory_type_distribution,education,2,80,0.025,info,top_memory_type_distribution=education
full80,top_memory_type_distribution,emotion,2,80,0.025,info,top_memory_type_distribution=emotion
full80,top_memory_type_distribution,relationship,2,80,0.025,info,top_memory_type_distribution=relationship
