query_id,query_type,query,method,selected_method,predicted_intent,mrr,recall@1,recall@3,recall@5,first_rank
q00030,2,When did Melanie go to the pottery workshop?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00032,2,When did Melanie go camping in June?,text_intent_router,type_aware,temporal_type_aware,0.04,0.0,0.0,0.0,25
q00033,1,What LGBTQ+ events has Caroline participated in?,text_intent_router,type_aware,default_type_aware,0.25,0.0,0.0,1.0,4
q00034,2,When did Caroline go to a pride parade during the summer?,text_intent_router,type_aware,temporal_type_aware,0.25,0.0,0.0,1.0,4
q00035,1,What events has Caroline participated in to help children?,text_intent_router,type_aware,default_type_aware,0.02631578947368421,0.0,0.0,0.0,38
q00036,2,When did Melanie go camping in July?,text_intent_router,type_aware,temporal_type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00037,2,When did Caroline join a mentorship program?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00039,1,What activities has Melanie done with her family?,text_intent_router,vector,identity_profile_vector,1.0,1.0,1.0,1.0,1
q00040,1,In what ways is Caroline participating in the LGBTQ community?,text_intent_router,type_aware,default_type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00041,1,How many times has Melanie gone to the beach in 2023?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00042,2,When did Caroline join a new activist group?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00043,3,Would Melanie be more interested in going to a national park or a theme park?,text_intent_router,type_aware,default_type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00044,1,What kind of art does Caroline make?,text_intent_router,keyword,keyword_heavy,0.1111111111111111,0.0,0.0,0.0,9
q00045,2,When is Melanie's daughter's birthday?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00046,2,When did Caroline attend a pride parade in August?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00048,1,Who supports Caroline when she has a negative experience?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00049,1,What types of pottery have Melanie and her kids made?,text_intent_router,type_aware,default_type_aware,0.017857142857142856,0.0,0.0,0.0,56
q00050,2,When did Caroline and Melanie go to a pride fesetival together?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00051,3,What would Caroline's political leaning likely be?,text_intent_router,type_aware,default_type_aware,0.03333333333333333,0.0,0.0,0.0,30
q00052,1,What has Melanie painted?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00053,1,What are Melanie's pets' names?,text_intent_router,type_aware,default_type_aware,0.2,0.0,0.0,1.0,5
q00054,2,When did Caroline apply to adoption agencies?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00055,2,When did Caroline draw a self-portrait?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00056,1,What subject have Caroline and Melanie both painted?,text_intent_router,type_aware,default_type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00058,2,When did Caroline encounter people on a hike and have a negative experience?,text_intent_router,type_aware,temporal_type_aware,0.5,0.0,1.0,1.0,2
q00059,2,When did Melanie make a plate in pottery class?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00060,3,Would Caroline be considered religious?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00061,1,What instruments does Melanie play?,text_intent_router,type_aware,default_type_aware,0.5,0.0,1.0,1.0,2
q00062,1,What musical artists/bands has Melanie seen?,text_intent_router,type_aware,default_type_aware,0.14285714285714285,0.0,0.0,0.0,7
q00063,2,When did Melanie go to the park?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00064,2,When is Caroline's youth center putting on a talent show?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00065,3,"Would Melanie likely enjoy the song ""The Four Seasons"" by Vivaldi?",text_intent_router,type_aware,default_type_aware,0.03571428571428571,0.0,0.0,0.0,28
q00066,1,What are some changes Caroline has faced during her transition journey?,text_intent_router,type_aware,default_type_aware,0.5,0.0,1.0,1.0,2
q00067,1,What does Melanie do with her family on hikes?,text_intent_router,type_aware,default_type_aware,0.125,0.0,0.0,0.0,8
q00068,2,When did Caroline go biking with friends?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00069,2,How long has Melanie been practicing art?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00070,3,What personality traits might Melanie say Caroline has?,text_intent_router,type_aware,default_type_aware,0.015151515151515152,0.0,0.0,0.0,66
q00071,1,What transgender-specific events has Caroline attended?,text_intent_router,type_aware,default_type_aware,0.14285714285714285,0.0,0.0,0.0,7
q00072,1,What book did Melanie read from Caroline's suggestion?,text_intent_router,type_aware,default_type_aware,0.5,0.0,1.0,1.0,2
q00073,2,When did Melanie's friend adopt a child?,text_intent_router,type_aware,temporal_type_aware,0.011627906976744186,0.0,0.0,0.0,86
q00074,2,When did Melanie get hurt?,text_intent_router,type_aware,temporal_type_aware,0.5,0.0,1.0,1.0,2
q00075,2,When did Melanie's family go on a roadtrip?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00076,1,How many children does Melanie have?,text_intent_router,type_aware,default_type_aware,0.5,0.0,1.0,1.0,2
q00077,1,When did Melanie go on a hike after the roadtrip?,text_intent_router,type_aware,temporal_type_aware,0.125,0.0,0.0,0.0,8
q00078,3,Would Melanie go on another roadtrip soon?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00079,1,What items has Melanie bought?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00080,2,When did Caroline pass the adoption interview?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00081,2,When did Melanie buy the figurines?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00082,3,Would Caroline want to move back to her home country soon?,text_intent_router,type_aware,default_type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00084,4,What did Melanie realize after the charity race?,text_intent_router,type_aware,default_type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00085,4,How does Melanie prioritize self-care?,text_intent_router,type_aware,causal_type_aware,0.5,0.0,1.0,1.0,2
q00086,4,What are Caroline's plans for the summer?,text_intent_router,type_aware,default_type_aware,0.0196078431372549,0.0,0.0,0.0,51
q00087,4,What type of individuals does the adoption agency Caroline is considering support?,text_intent_router,keyword,keyword_heavy,1.0,1.0,1.0,1.0,1
q00088,4,Why did Caroline choose the adoption agency?,text_intent_router,type_aware,causal_type_aware,1.0,1.0,1.0,1.0,1
q00089,4,What is Caroline excited about in the adoption process?,text_intent_router,type_aware,default_type_aware,0.1,0.0,0.0,0.0,10
q00091,4,How long have Mel and her husband been married?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00092,4,What does Caroline's necklace symbolize?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00093,4,What country is Caroline's grandma from?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00094,4,What was grandma's gift to Caroline?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00095,4,What is Melanie's hand-painted bowl a reminder of?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00096,4,What did Melanie and her family do while camping?,text_intent_router,type_aware,default_type_aware,0.03571428571428571,0.0,0.0,0.0,28
q00097,4,What kind of counseling and mental health services is Caroline interested in pursuing?,text_intent_router,keyword,keyword_heavy,1.0,1.0,1.0,1.0,1
q00098,4,What workshop did Caroline attend recently?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00099,4,What was discussed in the LGBTQ+ counseling workshop?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00100,4,What motivated Caroline to pursue counseling?,text_intent_router,type_aware,causal_type_aware,1.0,1.0,1.0,1.0,1
q00101,4,What kind of place does Caroline want to create for people?,text_intent_router,keyword,keyword_heavy,0.5,0.0,1.0,1.0,2
q00103,4,What kind of books does Caroline have in her library?,text_intent_router,keyword,keyword_heavy,1.0,1.0,1.0,1.0,1
q00104,4,What was Melanie's favorite book from her childhood?,text_intent_router,vector,identity_profile_vector,1.0,1.0,1.0,1.0,1
q00105,4,What book did Caroline recommend to Melanie?,text_intent_router,type_aware,default_type_aware,0.2,0.0,0.0,1.0,5
q00106,4,"What did Caroline take away from the book ""Becoming Nicole""?",text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00107,4,What are the new shoes that Melanie got used for?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00109,4,What does Melanie say running has been great for?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00110,4,What did Mel and her kids make during the pottery workshop?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00113,4,What did Mel and her kids paint in their latest project in July 2023?,text_intent_router,keyword,keyword_heavy,0.020833333333333332,0.0,0.0,0.0,48
q00114,4,What did Caroline see at the council meeting for adoption?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00115,4,What do sunflowers represent according to Caroline?,text_intent_router,type_aware,default_type_aware,0.022727272727272728,0.0,0.0,0.0,44
q00116,4,Why are flowers important to Melanie?,text_intent_router,type_aware,causal_type_aware,1.0,1.0,1.0,1.0,1
q00117,4,What inspired Caroline's painting for the art show?,text_intent_router,type_aware,default_type_aware,0.14285714285714285,0.0,0.0,0.0,7
q00118,4,How often does Melanie go to the beach with her kids?,text_intent_router,type_aware,default_type_aware,0.5,0.0,1.0,1.0,2
q00119,4,What did Melanie and her family see during their camping trip last year?,text_intent_router,type_aware,default_type_aware,0.5,0.0,1.0,1.0,2
q00121,4,Whose birthday did Melanie celebrate recently?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00122,4,Who performed at the concert at Melanie's daughter's birthday?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00123,4,Why did Melanie choose to use colors and patterns in her pottery project?,text_intent_router,type_aware,causal_type_aware,0.25,0.0,0.0,1.0,4
q00124,4,What pet does Caroline have?,text_intent_router,type_aware,default_type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00125,4,What pets does Melanie have?,text_intent_router,type_aware,default_type_aware,0.05,0.0,0.0,0.0,20
q00127,4,What activity did Caroline used to do with her dad?,text_intent_router,vector,identity_profile_vector,1.0,1.0,1.0,1.0,1
q00128,4,What did Caroline make for a local church?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00129,4,What did Caroline find in her neighborhood during her walk?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00130,4,Which song motivates Caroline to be courageous?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00131,4,Which classical musicians does Melanie enjoy listening to?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00132,4,Who is Melanie a fan of in terms of modern music?,text_intent_router,vector,identity_profile_vector,1.0,1.0,1.0,1.0,1
q00133,4,How long has Melanie been creating art?,text_intent_router,type_aware,temporal_type_aware,0.09090909090909091,0.0,0.0,0.0,11
q00134,4,What precautionary sign did Melanie see at the café?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00135,4,What advice does Caroline give for getting started with adoption?,text_intent_router,type_aware,default_type_aware,0.1,0.0,0.0,0.0,10
q00136,4,What setback did Melanie face in October 2023?,text_intent_router,type_aware,default_type_aware,0.5,0.0,1.0,1.0,2
q00137,4,What does Melanie do to keep herself busy during her pottery break?,text_intent_router,type_aware,default_type_aware,0.14285714285714285,0.0,0.0,0.0,7
q00138,4,"What painting did Melanie show to Caroline on October 13, 2023?",text_intent_router,type_aware,default_type_aware,0.05555555555555555,0.0,0.0,0.0,18
q00141,4,What did the posters at the poetry reading say?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00142,4,What does Caroline's drawing symbolize for her?,text_intent_router,type_aware,default_type_aware,0.16666666666666666,0.0,0.0,0.0,6
q00144,4,What happened to Melanie's son on their road trip?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00145,4,How did Melanie's son handle the accident?,text_intent_router,type_aware,causal_type_aware,0.5,0.0,1.0,1.0,2
q00146,4,How did Melanie feel about her family after the accident?,text_intent_router,type_aware,causal_type_aware,0.14285714285714285,0.0,0.0,0.0,7
q00147,4,How did Melanie's children handle the accident?,text_intent_router,type_aware,causal_type_aware,1.0,1.0,1.0,1.0,1
q00148,4,How did Melanie feel after the accident?,text_intent_router,type_aware,causal_type_aware,0.05263157894736842,0.0,0.0,0.0,19
q00149,4,What was Melanie's reaction to her children enjoying the Grand Canyon?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00151,4,How did Melanie feel about her family supporting her?,text_intent_router,type_aware,causal_type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00152,4,What did Melanie do after the road trip to relax?,text_intent_router,type_aware,default_type_aware,0.05263157894736842,0.0,0.0,0.0,19
q00153,5,What did Caroline realize after her charity race?,text_intent_router,type_aware,default_type_aware,0.008620689655172414,0.0,0.0,0.0,116
q00154,5,What are Melanie's plans for the summer with respect to adoption?,text_intent_router,type_aware,default_type_aware,0.02040816326530612,0.0,0.0,0.0,49
q00155,5,What type of individuals does the adoption agency Melanie is considering support?,text_intent_router,keyword,keyword_heavy,0.5,0.0,1.0,1.0,2
q00156,5,Why did Melanie choose the adoption agency?,text_intent_router,type_aware,causal_type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00157,5,What is Melanie excited about in her adoption process?,text_intent_router,type_aware,default_type_aware,0.010526315789473684,0.0,0.0,0.0,95
q00158,5,What does Melanie's necklace symbolize?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00159,5,What country is Melanie's grandma from?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00160,5,What was grandma's gift to Melanie?,text_intent_router,type_aware,default_type_aware,0.1,0.0,0.0,0.0,10
q00161,5,What was grandpa's gift to Caroline?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00162,5,What is Caroline's hand-painted bowl a reminder of?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00163,5,What did Caroline and her family do while camping?,text_intent_router,type_aware,default_type_aware,0.0044444444444444444,0.0,0.0,0.0,225
q00164,5,What kind of counseling and mental health services is Melanie interested in pursuing?,text_intent_router,keyword,keyword_heavy,0.5,0.0,1.0,1.0,2
q00165,5,What kind of counseling workshop did Melanie attend recently?,text_intent_router,keyword,keyword_heavy,1.0,1.0,1.0,1.0,1
q00166,5,What motivated Melanie to pursue counseling?,text_intent_router,type_aware,causal_type_aware,1.0,1.0,1.0,1.0,1
q00167,5,What kind of place does Melanie want to create for people?,text_intent_router,keyword,keyword_heavy,0.5,0.0,1.0,1.0,2
q00169,5,What are the new shoes that Caroline got used for?,text_intent_router,type_aware,default_type_aware,0.5,0.0,1.0,1.0,2
q00171,5,What does Caroline say running has been great for?,text_intent_router,type_aware,default_type_aware,0.125,0.0,0.0,0.0,8
q00172,5,What did Melanie see at the council meeting for adoption?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00173,5,What inspired Melanie's painting for the art show?,text_intent_router,type_aware,default_type_aware,0.011627906976744186,0.0,0.0,0.0,86
q00174,5,What inspired Caroline's sculpture for the art show?,text_intent_router,type_aware,default_type_aware,0.1111111111111111,0.0,0.0,0.0,9
q00175,5,How often does Caroline go to the beach with her kids?,text_intent_router,type_aware,default_type_aware,0.5,0.0,1.0,1.0,2
q00176,5,What did Caroline and her family see during their camping trip last year?,text_intent_router,type_aware,default_type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00178,5,Why did Caroline choose to use colors and patterns in her pottery project?,text_intent_router,type_aware,causal_type_aware,0.07142857142857142,0.0,0.0,0.0,14
q00179,5,Is Oscar Melanie's pet?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00181,5,What activity did Melanie used to do with her dad?,text_intent_router,vector,identity_profile_vector,0.011627906976744186,0.0,0.0,0.0,86
q00182,5,What did Melanie make for a local church?,text_intent_router,type_aware,default_type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00183,5,What did Melanie find in her neighborhood during her walk?,text_intent_router,type_aware,default_type_aware,0.041666666666666664,0.0,0.0,0.0,24
q00184,5,Which song motivates Melanie to be courageous?,text_intent_router,type_aware,default_type_aware,0.025,0.0,0.0,0.0,40
q00185,5,What type of instrument does Caroline play?,text_intent_router,keyword,keyword_heavy,0.002232142857142857,0.0,0.0,0.0,448
q00186,5,Which classical musicians does Caroline enjoy listening to?,text_intent_router,type_aware,default_type_aware,0.16666666666666666,0.0,0.0,0.0,6
q00187,5,Who is Caroline a fan of in terms of modern music?,text_intent_router,vector,identity_profile_vector,0.009708737864077669,0.0,0.0,0.0,103
q00188,5,What precautionary sign did Caroline see at the café?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00189,5,What setback did Caroline face recently?,text_intent_router,type_aware,default_type_aware,0.023255813953488372,0.0,0.0,0.0,43
q00190,5,What does Caroline do to keep herself busy during her pottery break?,text_intent_router,type_aware,default_type_aware,0.25,0.0,0.0,1.0,4
q00192,5,What happened to Caroline's son on their road trip?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00193,5,How did Caroline's son handle the accident?,text_intent_router,type_aware,causal_type_aware,0.25,0.0,0.0,1.0,4
q00194,5,How did Caroline feel about her family after the accident?,text_intent_router,type_aware,causal_type_aware,0.009523809523809525,0.0,0.0,0.0,105
q00195,5,How did Caroline's children handle the accident?,text_intent_router,type_aware,causal_type_aware,0.5,0.0,1.0,1.0,2
q00196,5,How did Caroline feel after the accident?,text_intent_router,type_aware,causal_type_aware,0.0040650406504065045,0.0,0.0,0.0,246
q00197,5,What was Caroline's reaction to her children enjoying the Grand Canyon?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00198,5,What did Caroline do after the road trip to relax?,text_intent_router,type_aware,default_type_aware,0.004830917874396135,0.0,0.0,0.0,207
q00199,5,What does Caroline love most about camping with her family?,text_intent_router,type_aware,default_type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00200,2,When Jon has lost his job as a banker?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00201,2,When Gina has lost her job at Door Dash?,text_intent_router,type_aware,temporal_type_aware,0.5,0.0,1.0,1.0,2
q00202,4,How do Jon and Gina both like to destress?,text_intent_router,vector,identity_profile_vector,0.004016064257028112,0.0,0.0,0.0,249
q00203,1,What do Jon and Gina both have in common?,text_intent_router,type_aware,default_type_aware,0.05555555555555555,0.0,0.0,0.0,18
q00204,4,Why did Jon decide to start his dance studio?,text_intent_router,type_aware,causal_type_aware,0.2,0.0,0.0,1.0,5
q00205,1,What Jon thinks the ideal dance studio should look like?,text_intent_router,vector,identity_profile_vector,0.2,0.0,0.0,1.0,5
q00206,2,When is Jon's group performing at a festival?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00207,2,When did Gina launch an ad campaign for her store?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00208,2,When was Jon in Paris?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00209,1,Which city have both Jean and John visited?,text_intent_router,type_aware,default_type_aware,0.0019193857965451055,0.0,0.0,0.0,521
q00210,2,When did Gina team up with a local artist for some cool designs?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00211,2,When did Gina get her tattoo?,text_intent_router,type_aware,temporal_type_aware,0.5,0.0,1.0,1.0,2
q00212,2,When did Jon start to go to the gym?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00213,2,When did Gina open her online clothing store?,text_intent_router,type_aware,temporal_type_aware,0.5,0.0,1.0,1.0,2
q00214,2,When did Jon start expanding his studio's social media presence?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00215,2,When did Jon host a dance competition?,text_intent_router,type_aware,temporal_type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00216,2,When did Jon go to a fair to get more exposure for his dance studio?,text_intent_router,type_aware,temporal_type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00217,1,Why did Gina decide to start her own clothing store?,text_intent_router,type_aware,causal_type_aware,0.05,0.0,0.0,0.0,20
q00218,1,Do Jon and Gina start businesses out of what they love?,text_intent_router,type_aware,default_type_aware,0.02857142857142857,0.0,0.0,0.0,35
q00219,2,When did Gina interview for a design internship?,text_intent_router,type_aware,temporal_type_aware,0.5,0.0,1.0,1.0,2
q00220,2,When did Gina get accepted for the design internship?,text_intent_router,type_aware,temporal_type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00221,2,"When did Jon start reading ""The Lean Startup""?",text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00222,2,When did Gina develop a video presentation to teach how to style her fashion pieces?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00223,1,How did Gina promote her clothes store?,text_intent_router,type_aware,causal_type_aware,0.09090909090909091,0.0,0.0,0.0,11
q00224,1,Which events has Jon participated in to promote his business venture?,text_intent_router,type_aware,default_type_aware,0.3333333333333333,0.0,1.0,1.0,3
q00225,1,What does Jon's dance studio offer?,text_intent_router,type_aware,default_type_aware,0.07692307692307693,0.0,0.0,0.0,13
q00226,2,When did Jon receive mentorship to promote his venture?,text_intent_router,type_aware,temporal_type_aware,0.08333333333333333,0.0,0.0,0.0,12
q00227,1,Did Jon and Gina both participate in dance competitions?,text_intent_router,type_aware,default_type_aware,0.047619047619047616,0.0,0.0,0.0,21
q00228,2,When was Jon in Rome?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00229,1,Which cities has Jon visited?,text_intent_router,type_aware,default_type_aware,1.0,1.0,1.0,1.0,1
q00230,2,When Jon is planning to open his dance studio?,text_intent_router,type_aware,temporal_type_aware,0.06666666666666667,0.0,0.0,0.0,15
q00231,1,How long did it take for Jon to open his studio?,text_intent_router,type_aware,temporal_type_aware,0.1,0.0,0.0,0.0,10
q00232,2,When did Gina design a limited collection of hoodies?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00233,2,When did Jon visit networking events for his store?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00234,2,When did Gina start being recognized by fashion editors?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00235,2,When did Jon start learning marketing and analytics tools?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00236,2,When did Jon and Gina decide to collaborate to create dance content?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00238,2,When did Gina go to a dance class with a group of friends?,text_intent_router,type_aware,temporal_type_aware,1.0,1.0,1.0,1.0,1
q00239,4,What is Gina's favorite style of dance?,text_intent_router,vector,identity_profile_vector,1.0,1.0,1.0,1.0,1
q00240,4,What is Jon's favorite style of dance?,text_intent_router,vector,identity_profile_vector,1.0,1.0,1.0,1.0,1
q00241,4,What was Gina's favorite dancing memory?,text_intent_router,vector,identity_profile_vector,0.3333333333333333,0.0,1.0,1.0,3
q00242,4,What kind of dance piece did Gina's team perform to win first place?,text_intent_router,keyword,keyword_heavy,0.5,0.0,1.0,1.0,2
q00244,4,What does Gina say about the dancers in the photo?,text_intent_router,type_aware,default_type_aware,0.002053388090349076,0.0,0.0,0.0,487
q00246,4,What kind of flooring is Jon looking for in his dance studio?,text_intent_router,keyword,keyword_heavy,1.0,1.0,1.0,1.0,1
q00247,4,"What did Gina find for her clothing store on 1 February, 2023?",text_intent_router,type_aware,default_type_aware,0.09090909090909091,0.0,0.0,0.0,11
q00248,4,What did Gina design for her store?,text_intent_router,type_aware,default_type_aware,0.045454545454545456,0.0,0.0,0.0,22
