query_id,query_type,method,selected_method,mrr,recall@1,recall@3,recall@5,first_rank,query,predicted_intent
q00071,1,type_aware,type_aware,0.14285714285714285,0.0,0.0,0.0,7,What transgender-specific events has Caroline attended?,fixed_baseline
q00072,1,type_aware,type_aware,0.5,0.0,1.0,1.0,2,What book did Melanie read from Caroline's suggestion?,fixed_baseline
q00073,2,type_aware,type_aware,0.011627906976744186,0.0,0.0,0.0,86,When did Melanie's friend adopt a child?,fixed_baseline
q00074,2,type_aware,type_aware,0.5,0.0,1.0,1.0,2,When did Melanie get hurt?,fixed_baseline
q00075,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Melanie's family go on a roadtrip?,fixed_baseline
q00076,1,type_aware,type_aware,0.5,0.0,1.0,1.0,2,How many children does Melanie have?,fixed_baseline
q00077,1,type_aware,type_aware,0.125,0.0,0.0,0.0,8,When did Melanie go on a hike after the roadtrip?,fixed_baseline
q00078,3,type_aware,type_aware,1.0,1.0,1.0,1.0,1,Would Melanie go on another roadtrip soon?,fixed_baseline
q00079,1,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What items has Melanie bought?,fixed_baseline
q00080,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Caroline pass the adoption interview?,fixed_baseline
q00081,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Melanie buy the figurines?,fixed_baseline
q00082,3,type_aware,type_aware,0.3333333333333333,0.0,1.0,1.0,3,Would Caroline want to move back to her home country soon?,fixed_baseline
q00084,4,type_aware,type_aware,0.3333333333333333,0.0,1.0,1.0,3,What did Melanie realize after the charity race?,fixed_baseline
q00085,4,type_aware,type_aware,0.5,0.0,1.0,1.0,2,How does Melanie prioritize self-care?,fixed_baseline
q00086,4,type_aware,type_aware,0.0196078431372549,0.0,0.0,0.0,51,What are Caroline's plans for the summer?,fixed_baseline
q00087,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What type of individuals does the adoption agency Caroline is considering support?,fixed_baseline
q00088,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,Why did Caroline choose the adoption agency?,fixed_baseline
q00089,4,type_aware,type_aware,0.1,0.0,0.0,0.0,10,What is Caroline excited about in the adoption process?,fixed_baseline
q00091,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,How long have Mel and her husband been married?,fixed_baseline
q00092,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What does Caroline's necklace symbolize?,fixed_baseline
q00093,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What country is Caroline's grandma from?,fixed_baseline
q00094,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What was grandma's gift to Caroline?,fixed_baseline
q00095,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What is Melanie's hand-painted bowl a reminder of?,fixed_baseline
q00096,4,type_aware,type_aware,0.03571428571428571,0.0,0.0,0.0,28,What did Melanie and her family do while camping?,fixed_baseline
q00097,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What kind of counseling and mental health services is Caroline interested in pursuing?,fixed_baseline
q00098,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What workshop did Caroline attend recently?,fixed_baseline
q00099,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What was discussed in the LGBTQ+ counseling workshop?,fixed_baseline
q00100,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What motivated Caroline to pursue counseling?,fixed_baseline
q00101,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What kind of place does Caroline want to create for people?,fixed_baseline
q00103,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What kind of books does Caroline have in her library?,fixed_baseline
q00104,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What was Melanie's favorite book from her childhood?,fixed_baseline
q00105,4,type_aware,type_aware,0.2,0.0,0.0,1.0,5,What book did Caroline recommend to Melanie?,fixed_baseline
q00106,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,"What did Caroline take away from the book ""Becoming Nicole""?",fixed_baseline
q00107,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What are the new shoes that Melanie got used for?,fixed_baseline
q00109,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What does Melanie say running has been great for?,fixed_baseline
q00110,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What did Mel and her kids make during the pottery workshop?,fixed_baseline
q00113,4,type_aware,type_aware,0.3333333333333333,0.0,1.0,1.0,3,What did Mel and her kids paint in their latest project in July 2023?,fixed_baseline
q00114,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What did Caroline see at the council meeting for adoption?,fixed_baseline
q00115,4,type_aware,type_aware,0.022727272727272728,0.0,0.0,0.0,44,What do sunflowers represent according to Caroline?,fixed_baseline
q00116,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,Why are flowers important to Melanie?,fixed_baseline
q00117,4,type_aware,type_aware,0.14285714285714285,0.0,0.0,0.0,7,What inspired Caroline's painting for the art show?,fixed_baseline
q00118,4,type_aware,type_aware,0.5,0.0,1.0,1.0,2,How often does Melanie go to the beach with her kids?,fixed_baseline
q00119,4,type_aware,type_aware,0.5,0.0,1.0,1.0,2,What did Melanie and her family see during their camping trip last year?,fixed_baseline
q00121,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,Whose birthday did Melanie celebrate recently?,fixed_baseline
q00122,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,Who performed at the concert at Melanie's daughter's birthday?,fixed_baseline
q00123,4,type_aware,type_aware,0.25,0.0,0.0,1.0,4,Why did Melanie choose to use colors and patterns in her pottery project?,fixed_baseline
q00124,4,type_aware,type_aware,0.3333333333333333,0.0,1.0,1.0,3,What pet does Caroline have?,fixed_baseline
q00125,4,type_aware,type_aware,0.05,0.0,0.0,0.0,20,What pets does Melanie have?,fixed_baseline
q00127,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What activity did Caroline used to do with her dad?,fixed_baseline
q00128,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What did Caroline make for a local church?,fixed_baseline
q00129,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What did Caroline find in her neighborhood during her walk?,fixed_baseline
q00130,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,Which song motivates Caroline to be courageous?,fixed_baseline
q00131,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,Which classical musicians does Melanie enjoy listening to?,fixed_baseline
q00132,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,Who is Melanie a fan of in terms of modern music?,fixed_baseline
q00133,4,type_aware,type_aware,0.09090909090909091,0.0,0.0,0.0,11,How long has Melanie been creating art?,fixed_baseline
q00134,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What precautionary sign did Melanie see at the café?,fixed_baseline
q00135,4,type_aware,type_aware,0.1,0.0,0.0,0.0,10,What advice does Caroline give for getting started with adoption?,fixed_baseline
q00136,4,type_aware,type_aware,0.5,0.0,1.0,1.0,2,What setback did Melanie face in October 2023?,fixed_baseline
q00137,4,type_aware,type_aware,0.14285714285714285,0.0,0.0,0.0,7,What does Melanie do to keep herself busy during her pottery break?,fixed_baseline
q00138,4,type_aware,type_aware,0.05555555555555555,0.0,0.0,0.0,18,"What painting did Melanie show to Caroline on October 13, 2023?",fixed_baseline
q00141,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What did the posters at the poetry reading say?,fixed_baseline
q00142,4,type_aware,type_aware,0.16666666666666666,0.0,0.0,0.0,6,What does Caroline's drawing symbolize for her?,fixed_baseline
q00144,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What happened to Melanie's son on their road trip?,fixed_baseline
q00145,4,type_aware,type_aware,0.5,0.0,1.0,1.0,2,How did Melanie's son handle the accident?,fixed_baseline
q00146,4,type_aware,type_aware,0.14285714285714285,0.0,0.0,0.0,7,How did Melanie feel about her family after the accident?,fixed_baseline
q00147,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,How did Melanie's children handle the accident?,fixed_baseline
q00148,4,type_aware,type_aware,0.05263157894736842,0.0,0.0,0.0,19,How did Melanie feel after the accident?,fixed_baseline
q00149,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What was Melanie's reaction to her children enjoying the Grand Canyon?,fixed_baseline
q00151,4,type_aware,type_aware,0.3333333333333333,0.0,1.0,1.0,3,How did Melanie feel about her family supporting her?,fixed_baseline
q00152,4,type_aware,type_aware,0.05263157894736842,0.0,0.0,0.0,19,What did Melanie do after the road trip to relax?,fixed_baseline
q00153,5,type_aware,type_aware,0.008620689655172414,0.0,0.0,0.0,116,What did Caroline realize after her charity race?,fixed_baseline
q00154,5,type_aware,type_aware,0.02040816326530612,0.0,0.0,0.0,49,What are Melanie's plans for the summer with respect to adoption?,fixed_baseline
q00155,5,type_aware,type_aware,0.3333333333333333,0.0,1.0,1.0,3,What type of individuals does the adoption agency Melanie is considering support?,fixed_baseline
q00156,5,type_aware,type_aware,0.3333333333333333,0.0,1.0,1.0,3,Why did Melanie choose the adoption agency?,fixed_baseline
q00157,5,type_aware,type_aware,0.010526315789473684,0.0,0.0,0.0,95,What is Melanie excited about in her adoption process?,fixed_baseline
q00158,5,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What does Melanie's necklace symbolize?,fixed_baseline
q00159,5,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What country is Melanie's grandma from?,fixed_baseline
q00160,5,type_aware,type_aware,0.1,0.0,0.0,0.0,10,What was grandma's gift to Melanie?,fixed_baseline
q00161,5,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What was grandpa's gift to Caroline?,fixed_baseline
q00162,5,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What is Caroline's hand-painted bowl a reminder of?,fixed_baseline
q00163,5,type_aware,type_aware,0.0044444444444444444,0.0,0.0,0.0,225,What did Caroline and her family do while camping?,fixed_baseline
q00164,5,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What kind of counseling and mental health services is Melanie interested in pursuing?,fixed_baseline
q00165,5,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What kind of counseling workshop did Melanie attend recently?,fixed_baseline
q00166,5,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What motivated Melanie to pursue counseling?,fixed_baseline
q00167,5,type_aware,type_aware,0.1,0.0,0.0,0.0,10,What kind of place does Melanie want to create for people?,fixed_baseline
q00169,5,type_aware,type_aware,0.5,0.0,1.0,1.0,2,What are the new shoes that Caroline got used for?,fixed_baseline
q00171,5,type_aware,type_aware,0.125,0.0,0.0,0.0,8,What does Caroline say running has been great for?,fixed_baseline
q00172,5,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What did Melanie see at the council meeting for adoption?,fixed_baseline
q00173,5,type_aware,type_aware,0.011627906976744186,0.0,0.0,0.0,86,What inspired Melanie's painting for the art show?,fixed_baseline
q00174,5,type_aware,type_aware,0.1111111111111111,0.0,0.0,0.0,9,What inspired Caroline's sculpture for the art show?,fixed_baseline
q00175,5,type_aware,type_aware,0.5,0.0,1.0,1.0,2,How often does Caroline go to the beach with her kids?,fixed_baseline
q00176,5,type_aware,type_aware,0.3333333333333333,0.0,1.0,1.0,3,What did Caroline and her family see during their camping trip last year?,fixed_baseline
q00178,5,type_aware,type_aware,0.07142857142857142,0.0,0.0,0.0,14,Why did Caroline choose to use colors and patterns in her pottery project?,fixed_baseline
q00179,5,type_aware,type_aware,1.0,1.0,1.0,1.0,1,Is Oscar Melanie's pet?,fixed_baseline
q00181,5,type_aware,type_aware,0.2,0.0,0.0,1.0,5,What activity did Melanie used to do with her dad?,fixed_baseline
q00182,5,type_aware,type_aware,0.3333333333333333,0.0,1.0,1.0,3,What did Melanie make for a local church?,fixed_baseline
q00183,5,type_aware,type_aware,0.041666666666666664,0.0,0.0,0.0,24,What did Melanie find in her neighborhood during her walk?,fixed_baseline
q00184,5,type_aware,type_aware,0.025,0.0,0.0,0.0,40,Which song motivates Melanie to be courageous?,fixed_baseline
q00185,5,type_aware,type_aware,0.0064516129032258064,0.0,0.0,0.0,155,What type of instrument does Caroline play?,fixed_baseline
q00186,5,type_aware,type_aware,0.16666666666666666,0.0,0.0,0.0,6,Which classical musicians does Caroline enjoy listening to?,fixed_baseline
q00187,5,type_aware,type_aware,0.05,0.0,0.0,0.0,20,Who is Caroline a fan of in terms of modern music?,fixed_baseline
q00188,5,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What precautionary sign did Caroline see at the café?,fixed_baseline
q00189,5,type_aware,type_aware,0.023255813953488372,0.0,0.0,0.0,43,What setback did Caroline face recently?,fixed_baseline
q00190,5,type_aware,type_aware,0.25,0.0,0.0,1.0,4,What does Caroline do to keep herself busy during her pottery break?,fixed_baseline
q00192,5,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What happened to Caroline's son on their road trip?,fixed_baseline
q00193,5,type_aware,type_aware,0.25,0.0,0.0,1.0,4,How did Caroline's son handle the accident?,fixed_baseline
q00194,5,type_aware,type_aware,0.009523809523809525,0.0,0.0,0.0,105,How did Caroline feel about her family after the accident?,fixed_baseline
q00195,5,type_aware,type_aware,0.5,0.0,1.0,1.0,2,How did Caroline's children handle the accident?,fixed_baseline
q00196,5,type_aware,type_aware,0.0040650406504065045,0.0,0.0,0.0,246,How did Caroline feel after the accident?,fixed_baseline
q00197,5,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What was Caroline's reaction to her children enjoying the Grand Canyon?,fixed_baseline
q00198,5,type_aware,type_aware,0.004830917874396135,0.0,0.0,0.0,207,What did Caroline do after the road trip to relax?,fixed_baseline
q00199,5,type_aware,type_aware,0.3333333333333333,0.0,1.0,1.0,3,What does Caroline love most about camping with her family?,fixed_baseline
q00200,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When Jon has lost his job as a banker?,fixed_baseline
q00201,2,type_aware,type_aware,0.5,0.0,1.0,1.0,2,When Gina has lost her job at Door Dash?,fixed_baseline
q00202,4,type_aware,type_aware,0.00684931506849315,0.0,0.0,0.0,146,How do Jon and Gina both like to destress?,fixed_baseline
q00203,1,type_aware,type_aware,0.05555555555555555,0.0,0.0,0.0,18,What do Jon and Gina both have in common?,fixed_baseline
q00204,4,type_aware,type_aware,0.2,0.0,0.0,1.0,5,Why did Jon decide to start his dance studio?,fixed_baseline
q00205,1,type_aware,type_aware,0.1111111111111111,0.0,0.0,0.0,9,What Jon thinks the ideal dance studio should look like?,fixed_baseline
q00206,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When is Jon's group performing at a festival?,fixed_baseline
q00207,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Gina launch an ad campaign for her store?,fixed_baseline
q00208,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When was Jon in Paris?,fixed_baseline
q00209,1,type_aware,type_aware,0.0019193857965451055,0.0,0.0,0.0,521,Which city have both Jean and John visited?,fixed_baseline
q00210,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Gina team up with a local artist for some cool designs?,fixed_baseline
q00211,2,type_aware,type_aware,0.5,0.0,1.0,1.0,2,When did Gina get her tattoo?,fixed_baseline
q00212,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Jon start to go to the gym?,fixed_baseline
q00213,2,type_aware,type_aware,0.5,0.0,1.0,1.0,2,When did Gina open her online clothing store?,fixed_baseline
q00214,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Jon start expanding his studio's social media presence?,fixed_baseline
q00215,2,type_aware,type_aware,0.3333333333333333,0.0,1.0,1.0,3,When did Jon host a dance competition?,fixed_baseline
q00216,2,type_aware,type_aware,0.3333333333333333,0.0,1.0,1.0,3,When did Jon go to a fair to get more exposure for his dance studio?,fixed_baseline
q00217,1,type_aware,type_aware,0.05,0.0,0.0,0.0,20,Why did Gina decide to start her own clothing store?,fixed_baseline
q00218,1,type_aware,type_aware,0.02857142857142857,0.0,0.0,0.0,35,Do Jon and Gina start businesses out of what they love?,fixed_baseline
q00219,2,type_aware,type_aware,0.5,0.0,1.0,1.0,2,When did Gina interview for a design internship?,fixed_baseline
q00220,2,type_aware,type_aware,0.3333333333333333,0.0,1.0,1.0,3,When did Gina get accepted for the design internship?,fixed_baseline
q00221,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,"When did Jon start reading ""The Lean Startup""?",fixed_baseline
q00222,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Gina develop a video presentation to teach how to style her fashion pieces?,fixed_baseline
q00223,1,type_aware,type_aware,0.09090909090909091,0.0,0.0,0.0,11,How did Gina promote her clothes store?,fixed_baseline
q00224,1,type_aware,type_aware,0.3333333333333333,0.0,1.0,1.0,3,Which events has Jon participated in to promote his business venture?,fixed_baseline
q00225,1,type_aware,type_aware,0.07692307692307693,0.0,0.0,0.0,13,What does Jon's dance studio offer?,fixed_baseline
q00226,2,type_aware,type_aware,0.08333333333333333,0.0,0.0,0.0,12,When did Jon receive mentorship to promote his venture?,fixed_baseline
q00227,1,type_aware,type_aware,0.047619047619047616,0.0,0.0,0.0,21,Did Jon and Gina both participate in dance competitions?,fixed_baseline
q00228,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When was Jon in Rome?,fixed_baseline
q00229,1,type_aware,type_aware,1.0,1.0,1.0,1.0,1,Which cities has Jon visited?,fixed_baseline
q00230,2,type_aware,type_aware,0.06666666666666667,0.0,0.0,0.0,15,When Jon is planning to open his dance studio?,fixed_baseline
q00231,1,type_aware,type_aware,0.1,0.0,0.0,0.0,10,How long did it take for Jon to open his studio?,fixed_baseline
q00232,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Gina design a limited collection of hoodies?,fixed_baseline
q00233,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Jon visit networking events for his store?,fixed_baseline
q00234,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Gina start being recognized by fashion editors?,fixed_baseline
q00235,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Jon start learning marketing and analytics tools?,fixed_baseline
q00236,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Jon and Gina decide to collaborate to create dance content?,fixed_baseline
q00238,2,type_aware,type_aware,1.0,1.0,1.0,1.0,1,When did Gina go to a dance class with a group of friends?,fixed_baseline
q00239,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What is Gina's favorite style of dance?,fixed_baseline
q00240,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What is Jon's favorite style of dance?,fixed_baseline
q00241,4,type_aware,type_aware,0.25,0.0,0.0,1.0,4,What was Gina's favorite dancing memory?,fixed_baseline
q00242,4,type_aware,type_aware,0.5,0.0,1.0,1.0,2,What kind of dance piece did Gina's team perform to win first place?,fixed_baseline
q00244,4,type_aware,type_aware,0.002053388090349076,0.0,0.0,0.0,487,What does Gina say about the dancers in the photo?,fixed_baseline
q00246,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What kind of flooring is Jon looking for in his dance studio?,fixed_baseline
q00247,4,type_aware,type_aware,0.09090909090909091,0.0,0.0,0.0,11,"What did Gina find for her clothing store on 1 February, 2023?",fixed_baseline
q00248,4,type_aware,type_aware,0.045454545454545456,0.0,0.0,0.0,22,What did Gina design for her store?,fixed_baseline
q00249,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What did Gina want her customers to feel in her store?,fixed_baseline
q00250,4,type_aware,type_aware,0.16666666666666666,0.0,0.0,0.0,6,What did Jon say about Gina's progress with her store?,fixed_baseline
q00251,4,type_aware,type_aware,0.1111111111111111,0.0,0.0,0.0,9,What made Gina choose the furniture and decor for her store?,fixed_baseline
q00253,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What did Gina say about creating an experience for her customers?,fixed_baseline
q00254,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,How is Gina's store doing?,fixed_baseline
q00255,4,type_aware,type_aware,1.0,1.0,1.0,1.0,1,What does Gina's tattoo symbolize?,fixed_baseline
