group,item,purpose,present,pass,evidence,action
required_offline_step,external_embedding_blocker_audit,external embedding blocker audit,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,embedding_paper_claim_upgrade,embedding baseline paper-claim upgrade gate,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,submission_blocker_closure_plan,submission blocker closure path,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,submission_package_index,paper package index,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,supplementary_package_manifest,supplementary package manifest and anonymization audit,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,anonymous_submission_readiness,anonymous submission package readiness audit,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,paper_table_consistency,paper table consistency audit,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,untracked_artifact_audit,untracked artifact hygiene audit,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,large_intermediate_provenance,large local intermediate provenance audit,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,artifact_path_portability,paper-facing artifact path portability audit,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,public_release_readiness,public release readiness gate,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,reproducibility_checklist,artifact and metric gates,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,artifact_integrity_manifest,artifact integrity manifest,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,evidence_matrix,claim/evidence/gap matrix,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,submission_gap_analysis,reviewer risk matrix,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,submission_readiness,final submission gates,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,final_submission_checklist,action-oriented final submission checklist,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,reviewer_response_prep,reviewer response prep,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,paper_manuscript,manuscript draft,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,manuscript_claim_check,manuscript claim check,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,manuscript_numeric_claim_check,manuscript numeric claim consistency check,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,paper_scope_claim_audit,paper-facing scope and generalization claim audit,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,evidence_freshness,stale evidence audit,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
required_offline_step,submission_entrypoint_consistency,submission readiness entrypoint consistency audit,True,True,pass,Keep in refresh_paper_artifacts.py and rerun after relevant artifacts change.
excluded_by_design,external_api_embedding_run,requires paid/network API key,False,True,intentionally excluded from offline refresh pipeline,Run manually only after external input is available.
excluded_by_design,human_label_filling,requires human judgment,False,True,intentionally excluded from offline refresh pipeline,Run manually only after external input is available.
excluded_by_design,full80_adjudication,requires independent annotators/adjudication,False,True,intentionally excluded from offline refresh pipeline,Run manually only after external input is available.
