audit_id,query_id,query,query_type,auto_reason,first_rank,top_memory_id,top_memory_type,top_memory_text,gold_memory_ids,gold_memory_types,gold_memory_texts,llm_manual_reason,llm_auto_reason_correct,llm_top_memory_relevant,llm_gold_memory_sufficient,llm_auditor_notes,human_manual_reason,human_auto_reason_correct,human_top_memory_relevant,human_gold_memory_sufficient,human_auditor_notes
audit_011,q00304,What plans does Gina have after receiving advice at the networking event?,5,gold_below_top20,503,llm_00355,event,Jon attended a networking event where he met investors and got good advice.,llm_00356|llm_00357,plan,Jon is sprucing up his business plan and tweaking his pitch to investors. || Jon is working on an online platform to showcase the dance studio's offerings.,gold_below_top20,yes,partial,yes,llm_assisted: Top memory mentions networking event but not Gina's plans; gold memories directly answer.,,,,,
audit_012,q00367,How many dogs has Maria adopted from the dog shelter she volunteers at?,1,gold_below_top20,32,llm_00459,event,Maria recently gave talks at the homeless shelter where she volunteers.,llm_00615,event,Maria got a puppy named Coco two weeks ago.,gold_below_top20,yes,no,yes,"llm_assisted: Top memory about talks at shelter, not dog adoption; gold memory gives count.",,,,,
audit_013,q00502,What pets wouldn't cause any discomfort to Joanna?,3,gold_below_top20,26,llm_00719,health,Joanna has allergies that prevent her from getting pets.,llm_00638,health,"Joanna is allergic to most reptiles and animals with fur, causing puffy and itchy face.",gold_below_top20,yes,partial,yes,llm_assisted: Top memory mentions allergies but not specific pets; gold memory specifies.,,,,,
audit_014,q00633,What did Joanna plan to do with the recipe Nate promised to share?,4,gold_below_top20,31,llm_00759,plan,Nate promised to give Joanna the vegan ice cream recipe tomorrow.,llm_00760,plan,Joanna plans to make the vegan ice cream for her family this weekend.,gold_below_top20,yes,partial,yes,"llm_assisted: Top memory about recipe promise, not Joanna's plan; gold memory gives plan.",,,,,
audit_015,q00973,What type of meal does Tim often cook using a slow cooker?,5,gold_below_top20,21,llm_00969,family,"Tim's family has a Thanksgiving tradition of preparing a feast, sharing what they're thankful for, and watching movies.",llm_01046,preference,John often makes honey garlic chicken with roasted vegetables.,gold_below_top20,yes,no,yes,"llm_assisted: Top memory about Thanksgiving, not slow cooker meals; gold memory answers.",,,,,
audit_016,q01031,What has Andrew done with his dogs?,1,gold_below_top20,29,llm_01420,identity,Andrew has two dogs named Toby and Buddy.,llm_01298|llm_01392,hobby|plan,Andrew plans to take Toby hiking on a local trail. || Andrew enjoys taking walks with Buddy.,"Top memory only mentions dog names, not activities; gold memories describe hiking and walks.",yes,partial,yes,llm_assisted: Top memory is related but lacks specific actions; gold memories directly answer.,,,,,
audit_017,q01052,What is something that Andrew could do to make birdwatching hobby to fit in his city schedule?,3,gold_below_top20,54,llm_01356,hobby,Andrew is experienced in birdwatching and offered to give Audrey advice and plan a birdwatching trip together.,llm_01374|llm_01375|llm_01178,event|preference|relationship,"Andrew had a busy week and played board games with his girlfriend Toby last Tuesday. || Andrew's girlfriend is named Toby. || Andrew's favorite animal is birds, specifically eagles, which he finds strong and graceful.",Top memory is about birdwatching but not about fitting into city schedule; gold memories provide context about busy week and preferences.,yes,partial,yes,llm_assisted: Top memory is relevant but not sufficient; gold memories give schedule and preference details.,,,,,
audit_018,q01055,When did Andrew make his dogs a fun indoor area?,2,gold_below_top20,39,llm_01251,preference,Andrew recommended a doggy daycare near him with a big indoor space for dogs.,llm_01431|llm_01432|llm_01433,event|plan,"Andrew plans to take Scout, Toby, and Buddy to a nearby park for Scout's first adventure. || Andrew and his girlfriend are keeping Scout on a leash while he gets used to being outside. || Andrew and his girlfriend bought essentials for Scout including a bed, toys, and puppy pads.","Top memory mentions doggy daycare with indoor space, but not when Andrew made an indoor area; gold memories are about plans and essentials.",yes,partial,no,llm_assisted: Top memory is tangentially related but doesn't answer 'when'; gold memories also lack specific time.,,,,,
audit_019,q01169,"How was John feeling on April 10, 2022?",2,gold_below_top20,377,llm_01116,event,John's favorite basketball game was when his team was down 10 in the 4th and he hit a buzzer-beater shot to win.,llm_01494,event,John visited a canyon two days ago to be alone with nature.,"Top memory is about a basketball game, not about feelings on a specific date; gold memory is about visiting a canyon.",yes,no,unclear,llm_assisted: Neither memory directly states feelings on that date; gold memory is more relevant but still indirect.,,,,,
audit_020,q01345,"What game is James hooked on playing on 5 November, 2022?",5,gold_below_top20,23,llm_01618,hobby,John is currently playing 'The Witcher 3' and is hooked on its storytelling and characters.,llm_01724,hobby,"John is currently playing FIFA 23, a football game with online multiplayer.","Top memory is about John playing Witcher 3, but query asks about James on a specific date; gold memory is about John playing FIFA 23.",yes,no,no,"llm_assisted: Name mismatch and date mismatch; gold memory is for John, not James, and no date.",,,,,
audit_021,q01547,"What cool stuff did Deborah accomplish at the retreat on 9 February, 2023?",5,gold_below_top20,391,llm_01851,plan,Deborah is preparing for a yoga retreat with friends.,llm_01772|llm_01773|llm_01774|llm_01775|llm_01776,goal|plan|work,Jolene is working on an engineering project and came up with neat solutions. || Jolene is interested in green tech and wants to make a difference in disadvantaged areas. || Jolene has an idea for a volunteer program where engineers teach STEM to underprivileged kids.,"Query asks about Deborah's retreat accomplishments, but gold memories are about Jolene, indicating a mismatch. Top memory is about Deborah preparing for a retreat, which is related but not about accomplishments.",yes,partial,no,"llm_assisted: Gold memories are for a different person (Jolene), so they are not sufficient.",,,,,
audit_022,q01655,"What was Sam doing on December 4, 2023?",2,gold_below_top20,24,llm_02079,health,Sam is on a diet and living healthier as of August 2023.,llm_02175,event,Sam attended a Weight Watchers meeting yesterday.,"Query asks about Sam's activity on a specific date, but top memory is a general health goal. Gold memory is an event on that date, which is more relevant.",yes,partial,yes,llm_assisted: Gold memory directly answers the query about the specific date.,,,,,
audit_023,q00071,What transgender-specific events has Caroline attended?,1,identity_neighbor,7,llm_00002,identity,Caroline is transgender.,llm_00170|llm_00171,event|identity,Caroline attended a transgender poetry reading last Friday where transgender people shared their stories through poetry. || Caroline is a transgender woman.,"Query asks about transgender-specific events, top memory is identity, gold includes an event and identity. Top memory is related but not sufficient.",yes,partial,yes,"llm_assisted: Gold memory includes the specific event, so it is sufficient.",,,,,
audit_024,q00882,Who is one of Tim's sources of inspiration for writing?,4,identity_neighbor,2,llm_01034,preference,"Tim draws inspiration for his writing from books, movies, real-life experiences, and certain authors.",llm_01035,preference,Tim is inspired by J.K. Rowling and takes notes on her style for his own writing.,"Query asks for a source of inspiration for writing, top memory is general inspiration, gold specifies J.K. Rowling. Top memory is related but not specific enough.",yes,partial,yes,"llm_assisted: Gold memory provides the specific source, so it is sufficient.",,,,,
audit_025,q00970,Who is one of Tim's sources of inspiration for painting?,5,identity_neighbor,18,llm_01034,preference,"Tim draws inspiration for his writing from books, movies, real-life experiences, and certain authors.",llm_01035,preference,Tim is inspired by J.K. Rowling and takes notes on her style for his own writing.,"Query asks for a source of inspiration for painting, but gold memory is about writing inspiration. Top memory is about writing inspiration, so it is not relevant to painting.",yes,no,no,"llm_assisted: Gold memory is about writing, not painting, so it is not sufficient.",,,,,
audit_026,q00016,What activities does Melanie partake in?,1,memory_type_mismatch,8,llm_00079,hobby,Melanie and her family enjoy hiking in the mountains and exploring forests.,llm_00042|llm_00080|llm_00010,event|plan,Melanie signed up for a pottery class yesterday. || Melanie went camping with her family two weekends ago. || Melanie is going swimming with the kids after the conversation.,"Top memory is a hobby, but query asks about activities, which could include events/plans. Top memory is relevant but not sufficient to answer fully.",partial,partial,yes,"llm_assisted: Top memory mentions hiking, but gold includes pottery, camping, swimming; partial relevance.",,,,,
audit_027,q00056,What subject have Caroline and Melanie both painted?,1,memory_type_mismatch,3,llm_00191,relationship,Caroline and Melanie have a supportive friendship and are there for each other.,llm_00128|llm_00068|llm_00069,event|hobby,"Caroline has not tried pottery yet. || Melanie and her kids enjoy painting together, especially nature-inspired paintings. || Melanie and her kids painted a nature-inspired painting together last weekend.","Top memory is about friendship, not painting. Query asks about a shared subject, so top memory is irrelevant.",yes,no,yes,llm_assisted: Top memory doesn't mention painting; gold has painting details.,,,,,
audit_028,q00314,Who gave Maria's family money when she was younger and her family was going through tough times?,1,memory_type_mismatch,3,llm_00517,event,Maria went on a family road trip to Oregon when she was younger.,llm_00416|llm_00410,family|relationship,"Maria had financial problems in her youth and relied on help from her auntie. || Maria started volunteering to make a difference, inspired by her aunt who believed in volunteering and helped her family when struggling.","Top memory is a road trip, not about financial help. Query asks about who gave money, so top memory is irrelevant.",yes,no,yes,llm_assisted: Top memory is unrelated to financial help; gold has auntie.,,,,,
audit_029,q00340,What states has Maria vacationed at?,1,memory_type_mismatch,2,llm_00559,hobby,Maria has been taking regular 'me-time' walks at a nearby park.,llm_00531|llm_00517,event,"Maria has a picture from a vacation in Florida with her family, feeling gratitude. || Maria went on a family road trip to Oregon when she was younger.","Top memory is about walks, not vacations. Query asks about states vacationed, so top memory is irrelevant.",yes,no,yes,llm_assisted: Top memory is not about vacations; gold has Florida and Oregon.,,,,,
audit_030,q00410,How does John plan to honor the memories of his beloved pet?,4,memory_type_mismatch,13,llm_00508,emotion,John is grieving the loss of his dog Max but finds comfort in memories.,llm_00509|llm_00510,goal|plan,John wants his kids to learn unconditional love and loyalty from the bond with Max. || John is considering adopting a rescue dog to teach his kids responsibility and compassion.,"Top memory is about grief, not plans. Query asks how John plans to honor, so top memory is partially relevant but not sufficient.",partial,partial,yes,"llm_assisted: Top memory mentions comfort, but gold has specific plans.",,,,,
audit_031,q00459,Who inspired John to start volunteering?,5,memory_type_mismatch,4,llm_00455,emotion,John found volunteering at the career fair rewarding and was inspired to help kids with lack of resources.,llm_00410,relationship,"Maria started volunteering to make a difference, inspired by her aunt who believed in volunteering and helped her family when struggling.","Top memory mentions John's inspiration but query asks who inspired John; gold memory is about Maria's inspiration, not John's.",no,partial,no,"llm_assisted: Top memory is about John's own inspiration, not who inspired him; gold memory is about Maria, not John.",,,,,
audit_032,q00568,What activities does Nate do with his turtles?,1,memory_type_mismatch,4,llm_00663,family,Nate has pet turtles.,llm_00850,preference,Nate enjoys watching his turtles eat fruit because they get excited.,Top memory states Nate has pet turtles but doesn't mention activities; gold memory describes watching turtles eat fruit.,no,partial,yes,"llm_assisted: Top memory only confirms ownership, not activities; gold memory provides the activity.",,,,,
audit_033,q00609,What are the main ingredients of the ice cream recipe shared by Nate?,4,memory_type_mismatch,10,llm_00759,plan,Nate promised to give Joanna the vegan ice cream recipe tomorrow.,llm_00688,hobby,"Nate makes dairy-free ice cream with coconut milk, vanilla extract, sugar, and a pinch of salt.",Top memory mentions promise to share recipe but not ingredients; gold memory lists ingredients.,no,partial,yes,"llm_assisted: Top memory is about promise, not ingredients; gold memory has the actual ingredients.",,,,,
audit_034,q00645,What type of ice cream does Joanna mention that Nate makes and is delicious?,4,memory_type_mismatch,12,llm_00897,event,Nate offered Joanna some of his coconut milk ice cream.,llm_00778,hobby,"Nate loves making dairy-free desserts, especially coconut milk ice cream.",Top memory mentions offering coconut milk ice cream but not that it's delicious; gold memory says he loves making it.,no,partial,unclear,llm_assisted: Top memory confirms type but not deliciousness; gold memory implies enjoyment but not explicitly delicious.,,,,,
audit_035,q00667,What does Joanna do while she writes?,4,memory_type_mismatch,2,llm_00726,preference,"Joanna writes best when being true to herself, even if it's hard.",llm_00838,relationship,"Joanna has a stuffed animal dog named Tilly that Nate gave her, and she keeps it with her while writing.","Top memory is about writing style, not what she does while writing; gold memory mentions keeping stuffed animal while writing.",no,no,yes,llm_assisted: Top memory is unrelated to activity during writing; gold memory directly answers.,,,,,
audit_036,q00858,How long did John and his high school basketball teammates play together?,4,memory_type_mismatch,2,llm_00949,education,John played basketball through middle and high school and earned a college scholarship.,llm_00975,event,John played on a high school sports team with friends for four years.,Top memory is about John's basketball history but lacks the duration with teammates.,partial,partial,yes,llm_assisted: Top memory is related but does not specify the duration; gold memory directly answers.,,,,,
audit_037,q00900,"How did ""The Alchemist"" impact John's perspective on following dreams?",4,memory_type_mismatch,2,llm_01002,preference,John read and loved 'The Alchemist'.,llm_01076,event,John recently finished rereading 'The Alchemist' and found it inspiring.,Top memory states John loved the book but not the impact on perspective.,partial,partial,yes,llm_assisted: Top memory is related but lacks the impact detail; gold memory provides it.,,,,,
audit_038,q00957,How long did Tim and his high school basketball teammates play together?,5,memory_type_mismatch,6,llm_00965,education,Tim is focusing on school and reading fantasy books.,llm_00975,event,John played on a high school sports team with friends for four years.,"Top memory is about Tim's education, not basketball teammates; gold memory is about John, not Tim.",yes,no,no,llm_assisted: Top memory is irrelevant and gold memory is for a different person.,,,,,
audit_039,q00962,What does Tim want to do after his basketball career?,5,memory_type_mismatch,3,llm_01051,preference,Tim's favorite basketball player is LeBron James.,llm_00997|llm_00998|llm_00999|llm_01000,goal,John is working on better shooting and making more impact on the court. || John is looking into endorsements and building his brand for life after basketball. || John wants to start a foundation and do charity work to make a positive difference.,"Top memory is about favorite player, not post-career plans; gold memory is about John, not Tim.",yes,no,no,llm_assisted: Top memory is irrelevant and gold memory is for a different person.,,,,,
audit_040,q01164,Does James live in Connecticut?,3,memory_type_mismatch,10,llm_01716,relationship,James and Samantha have decided to move in together.,llm_01482|llm_01483,event|family,James adopted a puppy from a shelter in Stamford last week and named it Ned. || James has a dog named Ned.,"Top memory is about moving in together, not location; gold memory mentions Stamford but not Connecticut explicitly.",partial,partial,unclear,llm_assisted: Top memory is related but not location; gold memory implies Connecticut but not explicit.,,,,,
audit_041,q01233,What game was James playing in the online gaming tournament in April 2022?,4,memory_type_mismatch,20,llm_01583,event,James won an online gaming tournament last week.,llm_01480,hobby,"James's favorite game is Apex Legends, which he plays with his team.","Top memory is about winning a tournament, not the game played; gold memory specifies Apex Legends.",partial,partial,yes,llm_assisted: Top memory mentions tournament but not game; gold memory directly answers.,,,,,
audit_042,q01294,What does John feel about starting the journey as a programming mentor for game developers?,4,memory_type_mismatch,2,llm_01689,work,John was offered a programming mentor role for game developers at a non-profit.,llm_01691|llm_01692,emotion|preference,John feels excited and inspired about starting the mentoring journey. || John finds sharing knowledge and seeing others reach their potential rewarding.,Top memory states the role but not John's feelings; gold memory provides emotions.,partial,partial,yes,llm_assisted: Top memory lacks emotional content; gold memory has feelings.,,,,,
audit_043,q01366,In what country did Jolene buy snake Seraphim?,3,memory_type_mismatch,2,llm_01800,family,Jolene has a pet snake named Seraphim.,llm_01749,other,"Jolene has a second snake named Seraphim, which she bought a year ago in Paris.",Top memory confirms pet snake but not purchase location; gold memory gives Paris.,partial,partial,yes,llm_assisted: Top memory is related but lacks country; gold memory answers.,,,,,
audit_044,q01741,Why did Evan apologize to his partner?,4,memory_type_mismatch,3,llm_02211,identity,Evan is married to his partner.,llm_02236,event,Evan apologized to his partner for a drunken night involving damage to rose bushes.,"Top memory states marital status, not reason for apology; gold memory gives event.",partial,partial,yes,llm_assisted: Top memory irrelevant to reason; gold memory provides cause.,,,,,
audit_045,q01756,"What food did Evan share a photo of on 19 August, 2023?",5,memory_type_mismatch,3,llm_02082,hobby,"Evan started taking painting classes a few days before August 19, 2023.",llm_02079,health,Sam is on a diet and living healthier as of August 2023.,"Top memory about painting classes, not food photo; gold memory about diet but not food.",no,no,no,llm_assisted: Neither memory answers the query about food photo.,,,,,
audit_046,q01783,When did Calvin first travel to Tokyo?,2,memory_type_mismatch,8,llm_02451,plan,Calvin is going to Tokyo next month after the tour ends.,llm_02261,event,Calvin attended a music festival in Tokyo recently and found it enriching.,"Top memory is a future plan, but query asks about past travel; gold memory is an event.",yes,partial,yes,llm_assisted: Top memory mentions Tokyo but not past travel; gold memory directly answers.,,,,,
audit_047,q01865,What did Dave open in May 2023?,4,memory_type_mismatch,6,llm_02272,goal,"Dave's dream was to open a car maintenance shop, and he achieved it.",llm_02294|llm_02295,event|work,Dave opened his car shop last week and celebrated with friends. || Dave owns a car shop and is passionate about helping with people's rides.,"Top memory is a goal, but query asks about a specific event in May 2023; gold memory is event/work.",yes,partial,yes,llm_assisted: Top memory mentions opening shop but not date; gold memory provides date.,,,,,
audit_048,q01924,Which city is featured in the photograph Dave showed Calvin?,4,memory_type_mismatch,2,llm_02380,plan,Calvin and Dave plan to meet up when Calvin is in Boston.,llm_02481,event,Dave took a photograph of a sunset in Boston.,"Top memory is a plan about meeting, but query asks about a photograph; gold memory is event.",yes,no,yes,llm_assisted: Top memory unrelated to photograph; gold memory directly answers.,,,,,
audit_049,q00547,How many times has Joanna's scripts been rejected?,1,other,3,llm_00869,event,Joanna submitted a few more scripts last week.,llm_00737|llm_00738|llm_00842,event|work,"Joanna received a rejection letter from a major company for her screenplay, which made her feel disheartened. || Joanna has written a screenplay. || Joanna recently received another rejection from a production company.","Top memory is an event about submissions, but query asks about rejections; gold memory includes rejections.",no,partial,yes,llm_assisted: Top memory mentions submissions but not rejections; gold memory has rejection details.,,,,,
audit_050,q00715,Who did Joanna plan to invite to her gaming party in June 2022?,5,other,8,llm_00801,plan,Joanna and Nate plan to see each other soon.,llm_00744,plan,"Nate is organizing a gaming party two weekends later, inviting tournament friends and old teammates.","Top memory is a plan about seeing each other, but query asks about gaming party invitees; gold memory is plan about party.",no,partial,yes,llm_assisted: Top memory mentions plan but not party; gold memory directly answers.,,,,,
audit_051,q01147,What type of jewelry does Andrew make?,5,other,2,llm_01177,preference,"Andrew does not have any pets currently, but he loves animals.",llm_01367|llm_01371,hobby|preference,"Audrey makes jewelry from recycled objects like bottle caps, buttons, and broken jewelry. || Audrey values combining creativity and sustainability in her jewelry making.","Query asks about Andrew's jewelry, but top memory is about pets; gold memory mentions Audrey's jewelry, so name mismatch and irrelevant top memory.",no,no,no,llm_assisted: Top memory irrelevant; gold memory has different person (Audrey vs Andrew).,,,,,
audit_052,q01246,"What did John organize with his friends on May 8, 2022?",4,other,2,llm_01701,event,John organized an online comp with his programmer friends last week.,llm_01530|llm_01535,event|hobby,John organized a CS:GO charity tournament with friends yesterday. || John plays CS:GO and considers it his favorite game.,"Query asks about May 8, 2022 event, top memory mentions 'last week' and online comp, gold memory mentions CS:GO tournament yesterday; top memory is related but not specific enough.",partial,partial,yes,llm_assisted: Top memory is related but lacks date; gold memory provides specific event.,,,,,
audit_053,q01314,What was the main goal of the money raised from the political campaign organized by John and his friends in May 2022?,5,other,6,llm_01714,event,John and his gaming pals raised a decent amount of money for a children's hospital during the gaming tournament.,llm_01531,event,John's CS:GO tournament raised money for a dog shelter near his street.,"Query asks about political campaign money goal, top memory mentions children's hospital, gold memory mentions dog shelter; top memory is related but contradicts gold.",partial,partial,yes,llm_assisted: Top memory has wrong beneficiary; gold memory correct.,,,,,
audit_054,q01340,"What games were played at the gaming tournament organized by James on 31 October, 2022?",5,other,8,llm_01477,event,James received gaming tips from a team member at the tournament.,llm_01713|llm_01714,event,"John organized a gaming tournament with his buddies last night, playing Fortnite, Overwatch, and Apex Legends, to raise money for a children's hospital. || John and his gaming pals raised a decent amount of money for a children's hospital during the gaming tournament.","Query asks about games played, top memory mentions gaming tips, gold memory lists games; top memory is related but doesn't answer.",partial,partial,yes,llm_assisted: Top memory is tangential; gold memory directly answers.,,,,,
audit_055,q01576,"Why did Deborah get the new plant on 30 August, 2023?",5,other,8,llm_01958,event,"Deborah attended a community meetup last Friday (August 25, 2023) where they shared stories.",llm_01949,event,Jolene recently got a new plant as a reminder to nurture herself and embrace fresh starts.,"Query asks about Deborah's plant, top memory about community meetup, gold memory about Jolene's plant; top memory irrelevant, gold memory has different person.",no,no,no,llm_assisted: Top memory irrelevant; gold memory has different person (Jolene vs Deborah).,,,,,
audit_056,q01803,Who inspired Dave's passion for car engineering?,1,other,19,llm_02365,event,Dave attended a car workshop in San Francisco and was inspired by the passion and dedication of people in car restoration.,llm_02348|llm_02349|llm_02472|llm_02473,event|hobby|work,"Dave grew up working on cars with his dad, and refurbishing cars is like therapy for him. || Dave has fond memories of working on cars with his dad as a kid, including one summer spent restoring an old car together. || Dave is an automotive engineer.",top memory mentions inspiration from car workshop but not specific person (dad),no,partial,yes,"llm_assisted: Gold memory explicitly states dad inspired passion, top memory only generic inspiration.",,,,,
audit_057,q00982,What instrument is John learning to play in December 2023?,5,persona_confusion,2,llm_01465,hobby,James is learning an instrument and started a few days ago.,llm_01098|llm_01100,hobby|preference,Tim is learning to play the violin. || Tim is mostly into classical music but wants to try jazz and film scores on the violin.,"top memory refers to James, query asks about John, persona confusion",yes,no,yes,"llm_assisted: Top memory is about wrong person, gold memory has correct instrument.",,,,,
audit_058,q01136,What are some of the personalities of Andrew's four fur babies?,5,persona_confusion,3,llm_01289,family,"Audrey has four dogs, which she considers her 'fur babies' and says they are more important to her than anything.",llm_01290,family,"Audrey's four dogs have distinct personalities: the oldest is relaxed, the second is playful, the third is naughty but cuddly, and the youngest is adventurous.","top memory mentions Audrey's dogs but not personalities, query asks for Andrew's dogs",yes,partial,yes,"llm_assisted: Top memory has dogs but wrong owner and no personalities, gold memory has correct details.",,,,,
audit_059,q01316,What did James create for the charitable foundation that helped generate reports for analysis?,5,persona_confusion,2,llm_01537,event,John volunteered his programming skills for a social cause by creating a software tool for a charitable foundation.,llm_01538,event,"John built an application for a charitable foundation to replace paper records and manual inventory tracking, now used on smartphones.","top memory says John created software tool, query asks James, persona confusion",yes,partial,yes,"llm_assisted: Top memory has similar event but wrong person, gold memory has correct details.",,,,,
audit_060,q01337,What kind of gig was James offered at the game dev non-profit organization?,5,persona_confusion,2,llm_01687,event,John got an email about a volunteer gig at a game dev non-profit.,llm_01689|llm_01690,work,John was offered a programming mentor role for game developers at a non-profit. || John will be teaching coding and assisting with projects as a programming mentor.,"top memory mentions volunteer gig but not specific role, query asks James, persona confusion",yes,partial,yes,"llm_assisted: Top memory has event but wrong person and lacks role, gold memory has correct details.",,,,,
audit_061,q01814,Where was Dave in the last two weeks of August 2023?,2,persona_confusion,8,llm_01958,event,"Deborah attended a community meetup last Friday (August 25, 2023) where they shared stories.",llm_02365|llm_02391|llm_02392|llm_02396,event|hobby|relationship,Dave attended a car workshop in San Francisco and was inspired by the passion and dedication of people in car restoration. || Dave recently returned from San Francisco with insights on car modification. || Dave is interested in car modification and finds it satisfying to give old cars new life.,"Top memory is about Deborah, not Dave; persona confusion",yes,no,yes,"llm_assisted: Top memory is about a different person, so not relevant.",,,,,
audit_062,q00573,What are Nate's favorite desserts?,1,preference_neighbor,5,llm_00807,preference,Nate's favorite dish from his cooking show is coconut milk ice cream.,llm_00646|llm_00649|llm_00650,event|hobby|preference,"Nate discovered he can make coconut milk ice cream and tried it. || Nate likes coconut milk, chocolate, and mixed berry flavors for dairy-free desserts. || Nate made a dairy-free chocolate cake with berries recently.","Top memory is a specific dessert, but gold includes broader preferences",partial,partial,yes,llm_assisted: Top memory is related but not the full answer.,,,,,
audit_063,q00589,What is Nate's favorite book series about?,4,preference_neighbor,3,llm_00699,preference,Nate's favorite movie trilogy is a fantasy/sci-fi series with great world building and battles.,llm_00700,preference,"Nate recommends a book series with adventures, magic, and great characters.","Top memory is about a movie trilogy, not a book series",partial,partial,yes,"llm_assisted: Top memory is a different medium, so only partially relevant.",,,,,
audit_064,q00695,What does Nate love most about having turtles?,4,preference_neighbor,6,llm_00637,preference,Nate recommends having pets like turtles for times of stress.,llm_00894|llm_00895,hobby|preference,Nate has pet turtles that bring him peace and calm. || Nate loves that his turtles don't require much looking after.,"Top memory mentions pets generally, not specifically turtles",partial,partial,yes,llm_assisted: Top memory is related but not specific enough.,,,,,
