query_id,query,query_type,intent,first_rank,reason,top_memory_id,top_memory_type,top_memory_text,gold_memory_ids,gold_memory_types,gold_memory_texts
q00145,How did Melanie's son handle the accident?,4,causal_emotion,2,memory_type_mismatch,llm_00173,event,"Melanie's son was in a car accident during a road trip over the past weekend, but he was okay.",llm_00177,family,"Melanie has multiple children, including a son who was in an accident and other kids who were scared but reassured."
q00146,How did Melanie feel about her family after the accident?,4,relationship,7,memory_type_mismatch,llm_00018,belief,Melanie believes self-care helps her better look after her family.,llm_00175|llm_00176,event|relationship,Melanie's family visited the Grand Canyon during their road trip and enjoyed it. || Melanie values her family deeply and considers them her biggest motivation and support.
q00148,How did Melanie feel after the accident?,4,causal_emotion,19,memory_type_mismatch,llm_00010,plan,Melanie is going swimming with the kids after the conversation.,llm_00175|llm_00176,event|relationship,Melanie's family visited the Grand Canyon during their road trip and enjoyed it. || Melanie values her family deeply and considers them her biggest motivation and support.
q00151,How did Melanie feel about her family supporting her?,4,relationship,3,memory_type_mismatch,llm_00077,family,Melanie's family supported her during her move.,llm_00176,relationship,Melanie values her family deeply and considers them her biggest motivation and support.
q00152,What did Melanie do after the road trip to relax?,4,other,19,semantic_neighbor,llm_00174,event,Melanie went on a road trip with her family over the past weekend.,llm_00178,event,Melanie went camping with her family yesterday and the kids loved it.
q00153,What did Caroline realize after her charity race?,5,activity,116,gold_below_top20,llm_00011,event,Melanie ran a charity race for mental health last Saturday.,llm_00012|llm_00018,belief|goal,"Melanie is prioritizing self-care and carving out me-time each day for running, reading, or playing violin. || Melanie believes self-care helps her better look after her family."
q00154,What are Melanie's plans for the summer with respect to adoption?,5,temporal,49,gold_below_top20,llm_00013,plan,Melanie's kids are excited about summer break and the family is thinking about going camping next month.,llm_00014,goal,Caroline is researching adoption agencies with the goal of adopting children and giving them a loving home.
q00155,What type of individuals does the adoption agency Melanie is considering support?,5,causal_emotion,3,memory_type_mismatch,llm_00163,goal,Melanie is considering adoption herself after hearing about her friend's experience.,llm_00015,preference,Caroline chose an adoption agency because it helps LGBTQ+ folks with adoption.
q00156,Why did Melanie choose the adoption agency?,5,causal_emotion,3,memory_type_mismatch,llm_00164,other,"Caroline gave Melanie tips on starting adoption: research, find an agency or lawyer, gather documents, and prepare emotionally.",llm_00015,preference,Caroline chose an adoption agency because it helps LGBTQ+ folks with adoption.
q00157,What is Melanie excited about in her adoption process?,5,other,95,gold_below_top20,llm_00163,goal,Melanie is considering adoption herself after hearing about her friend's experience.,llm_00016,plan,Caroline is planning to adopt as a single parent and is up for the challenge.
q00160,What was grandma's gift to Melanie?,5,other,10,memory_type_mismatch,llm_00051,preference,Melanie's favorite childhood book was 'Charlotte's Web'.,llm_00029|llm_00030,family|identity,"Caroline is from Sweden. || Caroline's grandma gave her a necklace from Sweden that symbolizes love, faith, and strength."
q00163,What did Caroline and her family do while camping?,5,relationship,225,gold_below_top20,llm_00080,event,Melanie went camping with her family two weekends ago.,llm_00033,family,Melanie has two younger kids who love nature.
q00167,What kind of place does Melanie want to create for people?,5,location,10,persona_confusion,llm_00287,goal,Jon wants to create a place for people to dance and express themselves.,llm_00037|llm_00038,emotion|goal,"Caroline's own journey and support she received motivated her to pursue counseling. || Caroline is passionate about creating a safe, inviting place for people to grow."
q00169,What are the new shoes that Caroline got used for?,5,other,2,persona_confusion,llm_01018,plan,John needs new shoes after all the games.,llm_00064,preference,Melanie recently bought new purple running shoes.
q00171,What does Caroline say running has been great for?,5,activity,8,memory_type_mismatch,llm_00145,hobby,Caroline plays acoustic guitar and has been playing for about five years.,llm_00066,goal,Melanie finds running beneficial for her mental health and plans to continue.
q00173,What inspired Melanie's painting for the art show?,5,activity,86,gold_below_top20,llm_00136,preference,Melanie's favorite art type is painting landscapes and still life.,llm_00086,hobby,"Caroline painted a piece inspired by a visit to an LGBTQ center, depicting unity and strength."
q00174,What inspired Caroline's sculpture for the art show?,5,other,9,memory_type_mismatch,llm_00085,plan,Caroline has an LGBTQ art show with her paintings next month.,llm_00086,hobby,"Caroline painted a piece inspired by a visit to an LGBTQ center, depicting unity and strength."
q00175,How often does Caroline go to the beach with her kids?,5,other,2,persona_confusion,llm_00092,event,Melanie went to the beach with her kids recently.,llm_00093,preference,Melanie goes to the beach with her kids only once or twice a year.
q00176,What did Caroline and her family see during their camping trip last year?,5,relationship,3,relationship_neighbor,llm_00053,event,Caroline had a picnic with friends and family last week.,llm_00095,event,Melanie's best camping memory is seeing the Perseid meteor shower during a camping trip last year.
q00178,Why did Caroline choose to use colors and patterns in her pottery project?,5,causal_emotion,14,memory_type_mismatch,llm_00157,plan,Caroline is interested in trying pottery in the future.,llm_00110,preference,Melanie is obsessed with colorful patterns and uses painting to express her feelings and creativity.
q00181,What activity did Melanie used to do with her dad?,5,activity,5,memory_type_mismatch,llm_00080,event,Melanie went camping with her family two weekends ago.,llm_00119|llm_00120,hobby,Caroline used to go horseback riding with her dad as a kid. || Caroline has always loved horses.
q00182,What did Melanie make for a local church?,5,other,3,persona_confusion,llm_00605,event,Maria did community work with friends from church yesterday.,llm_00133,event,"Caroline made a stained glass window for a local church, inspired by her journey as a transgender woman."
q00183,What did Melanie find in her neighborhood during her walk?,5,other,24,gold_below_top20,llm_00077,family,Melanie's family supported her during her move.,llm_00134,event,Caroline saw a rainbow sidewalk for Pride Month in her neighborhood.
q00184,Which song motivates Melanie to be courageous?,5,other,40,gold_below_top20,llm_00026,family,Melanie's family motivates her and gives her love.,llm_00146,preference,"Caroline: The song 'Brave' by Sara Bareilles has deep significance for Caroline, reminding her of her journey and progress."
q00185,What type of instrument does Caroline play?,5,activity,155,gold_below_top20,llm_00041,hobby,Caroline is learning to play the piano.,llm_00147,hobby,Melanie plays the clarinet and started when she was young.
q00186,Which classical musicians does Caroline enjoy listening to?,5,preference,6,memory_type_mismatch,llm_00041,hobby,Caroline is learning to play the piano.,llm_00148,preference,"Melanie enjoys classical music like Bach and Mozart, as well as modern music like Ed Sheeran's 'Perfect'."
q00187,Who is Caroline a fan of in terms of modern music?,5,identity,20,memory_type_mismatch,llm_00108,identity,Caroline is part of the LGBTQ community and values supportive people around her.,llm_00148,preference,"Melanie enjoys classical music like Bach and Mozart, as well as modern music like Ed Sheeran's 'Perfect'."
q00189,What setback did Caroline face recently?,5,temporal,43,gold_below_top20,llm_00171,identity,Caroline is a transgender woman.,llm_00165,health,"Melanie had a setback last month: she got hurt and had to take a break from pottery, which she uses for self-expression and peace."
q00190,What does Caroline do to keep herself busy during her pottery break?,5,other,4,memory_type_mismatch,llm_00157,plan,Caroline is interested in trying pottery in the future.,llm_00166,hobby,Melanie is doing okay now and has been reading a book recommended by Caroline and painting to keep busy.
q00193,How did Caroline's son handle the accident?,5,causal_emotion,4,persona_confusion,llm_02184,event,Evan's son had a bike accident last Tuesday and is recovering.,llm_00177,family,"Melanie has multiple children, including a son who was in an accident and other kids who were scared but reassured."
q00194,How did Caroline feel about her family after the accident?,5,relationship,105,gold_below_top20,llm_00017,emotion,Caroline feels hopeful and optimistic about the adoption process.,llm_00175|llm_00176,event|relationship,Melanie's family visited the Grand Canyon during their road trip and enjoyed it. || Melanie values her family deeply and considers them her biggest motivation and support.
q00195,How did Caroline's children handle the accident?,5,causal_emotion,2,memory_type_mismatch,llm_00049,plan,Caroline is creating a library of children's books for when she has kids.,llm_00177,family,"Melanie has multiple children, including a son who was in an accident and other kids who were scared but reassured."
q00196,How did Caroline feel after the accident?,5,causal_emotion,246,gold_below_top20,llm_00072,preference,Caroline's favorite color is blue because it makes her feel relaxed.,llm_00175|llm_00176,event|relationship,Melanie's family visited the Grand Canyon during their road trip and enjoyed it. || Melanie values her family deeply and considers them her biggest motivation and support.
q00198,What did Caroline do after the road trip to relax?,5,other,207,gold_below_top20,llm_00113,plan,"Caroline and Melanie plan to do something special together this summer, possibly a family outing or a trip just the two of them.",llm_00178,event,Melanie went camping with her family yesterday and the kids loved it.
q00199,What does Caroline love most about camping with her family?,5,relationship,3,persona_confusion,llm_00179,preference,Melanie loves camping trips with her family because nature brings peace and serenity.,llm_00180|llm_00181,hobby|preference,"Melanie enjoys bonding with her family over stories, campfires, and nature during camping trips. || Melanie finds peace in waking up to the sound of birds and fresh air while camping."
q00201,When Gina has lost her job at Door Dash?,2,temporal,2,temporal_neighbor,llm_00241,work,Gina lost her job at Door Dash.,llm_00194,work,Gina lost her job at Door Dash this month.
q00202,How do Jon and Gina both like to destress?,4,preference,146,gold_below_top20,llm_00273,relationship,Jon and Gina: Gina and Jon share a special connection through dance.,llm_00195,hobby,Jon has been passionate about dancing since he was a kid.
q00203,What do Jon and Gina both have in common?,1,other,18,memory_type_mismatch,llm_00249,relationship,Jon and Gina support each other in their entrepreneurial journeys.,llm_00192|llm_00193|llm_00194|llm_00204|llm_00205|llm_00206,emotion|event|goal|work,"Jon lost his job as a banker yesterday. || Jon is starting his own business, a dance studio. || Gina lost her job at Door Dash this month."
q00204,Why did Jon decide to start his dance studio?,4,causal_emotion,5,memory_type_mismatch,llm_00285,event,"Jon lost his job, which motivated him to start his dance studio.",llm_00192|llm_00193,goal|work,"Jon lost his job as a banker yesterday. || Jon is starting his own business, a dance studio."
q00205,What Jon thinks the ideal dance studio should look like?,1,preference,9,memory_type_mismatch,llm_00298,work,Jon owns a dance studio.,llm_00207|llm_00208|llm_00209|llm_00210|llm_00211,event|goal|plan|preference,Jon is looking for a spot for his dance studio. || Jon visited Paris yesterday. || Jon found a potential spot for his dance studio downtown with great natural light.
q00209,Which city have both Jean and John visited?,1,other,521,gold_below_top20,llm_00978,event,John has visited New York City and found it amazing.,llm_00212|llm_00326,event,Gina has been to Rome once. || Jon took a short trip to Rome last week to clear his mind.
q00211,When did Gina get her tattoo?,2,temporal,2,memory_type_mismatch,llm_00314,education,Gina had a mentor when she was learning to dance.,llm_00236,preference,"Gina has a tattoo that stands for freedom and dancing without worrying what people think, which she got a few years ago."
q00213,When did Gina open her online clothing store?,2,temporal,2,memory_type_mismatch,llm_00250,work,Gina runs an online clothing store.,llm_00242,event,Gina opened an online clothes store.
q00215,When did Jon host a dance competition?,2,temporal,3,temporal_neighbor,llm_00226,event,Jon is preparing for a dance competition near him next month.,llm_00262|llm_00263,event|work,Jon is expanding his dance studio's social media presence and offering workshops and classes to local schools and centers. || Jon is hosting a dance competition next month to showcase local talent and bring attention to his studio.
q00216,When did Jon go to a fair to get more exposure for his dance studio?,2,temporal,3,temporal_neighbor,llm_00285,event,"Jon lost his job, which motivated him to start his dance studio.",llm_00275|llm_00276,event|work,"Jon attended a fair yesterday to showcase his studio and got some possible leads. || Jon runs a business (studio) and finds it challenging, learning that confidence is important for success."
q00217,Why did Gina decide to start her own clothing store?,1,causal_emotion,20,semantic_neighbor,llm_00278,work,Gina lost her job and started her own online clothing store to take control of her destiny.,llm_00243|llm_00244|llm_00194,hobby|preference|work,"Gina is passionate about fashion trends and finding unique pieces. || Gina loves dance and fashion, and blended these interests into her online store. || Gina lost her job at Door Dash this month."
q00218,Do Jon and Gina start businesses out of what they love?,1,preference,35,gold_below_top20,llm_00329,emotion,Gina is excited and proud of Jon for his dance studio opening.,llm_00192|llm_00193|llm_00243|llm_00244,goal|hobby|preference|work,"Jon lost his job as a banker yesterday. || Jon is starting his own business, a dance studio. || Gina is passionate about fashion trends and finding unique pieces."
q00219,When did Gina interview for a design internship?,2,temporal,2,temporal_neighbor,llm_00291,event,Gina's interview for the design internship went great.,llm_00290,event,Gina had an interview for a design internship yesterday.
q00220,When did Gina get accepted for the design internship?,2,temporal,3,temporal_neighbor,llm_00291,event,Gina's interview for the design internship went great.,llm_00294,event,Gina was accepted for a part-time fashion internship at an international company.
q00223,How did Gina promote her clothes store?,1,causal_emotion,11,memory_type_mismatch,llm_00242,event,Gina opened an online clothes store.,llm_00232|llm_00233|llm_00333|llm_00334|llm_00257|llm_00312|llm_00313|llm_00314,education|plan|work,Gina teamed up with a local artist for designs for her online store. || Gina got the idea for her store's designs from a fashion magazine and worked with an artist to create something unique. || Gina acquired new unique pieces for her store.
q00224,Which events has Jon participated in to promote his business venture?,1,other,3,other,llm_00343,event,"Jon lost his job, which pushed him to pursue his business dreams.",llm_00275|llm_00276|llm_00336|llm_00337|llm_00338|llm_00257,event|plan|work,"Jon attended a fair yesterday to showcase his studio and got some possible leads. || Jon runs a business (studio) and finds it challenging, learning that confidence is important for success. || Jon chose to go to networking events yesterday to make things happen."
q00225,What does Jon's dance studio offer?,1,other,13,semantic_neighbor,llm_00298,work,Jon owns a dance studio.,llm_00307|llm_00308|llm_00262|llm_00263,event|goal|work,Jon wants his dance studio to be a place of support and encouragement for dancers. || Jon offers one-on-one mentoring and training at his dance studio. || Jon is expanding his dance studio's social media presence and offering workshops and classes to local schools and centers.
q00226,When did Jon receive mentorship to promote his venture?,2,temporal,12,memory_type_mismatch,llm_00240,health,Jon started hitting the gym last week to stay on track with his venture.,llm_00315,event,Jon was mentored by a business person yesterday and felt inspired.
q00227,Did Jon and Gina both participate in dance competitions?,1,other,21,gold_below_top20,llm_00228,relationship,Gina supports Jon in his business and dance endeavors.,llm_00324|llm_00199|llm_00200|llm_00272,event|hobby,Gina used to dance and shared a photo of herself dancing. || Jon's dance crew won first place in a local competition last year. || Gina's dance team won first place at regionals when she was fifteen.
q00230,When Jon is planning to open his dance studio?,2,temporal,15,memory_type_mismatch,llm_00305,goal,Jon is preparing to open a dance studio.,llm_00328,event,"Jon's dance studio grand opening is tomorrow (June 20, 2023)."
