query_id,query,num_facets,facets,mrr,recall@1,recall@3,recall@5,first_rank,any_hit@1,full_coverage@1,coverage_ratio@1,any_hit@3,full_coverage@3,coverage_ratio@3,any_hit@5,full_coverage@5,coverage_ratio@5,any_hit@10,full_coverage@10,coverage_ratio@10,any_hit@20,full_coverage@20,coverage_ratio@20
q00082,Would Caroline want to move back to her home country soon?,12,Would Caroline want to move back to her home country soon? || caroline caroline want move back home country soon || caroline caroline want || caroline want move || caroline move back || caroline back home || caroline home country || caroline country soon || caroline caroline want move || caroline want move back || caroline move back home || caroline back home country,0.09090909090909091,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333
q00313,What might John's financial status be?,7,What might John's financial status be? || john john financial status || john john financial || john financial status || john john || john financial || john status,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00319,Would John be considered a patriotic person?,4,Would John be considered a patriotic person? || john john patriotic || john john || john patriotic,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00322,What might John's degree be in?,4,What might John's degree be in? || john john degree || john john || john degree,1.0,1.0,1.0,1.0,1,1.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666
q00350,Would John be open to moving to another country?,12,Would John be open to moving to another country? || john john open moving another country || john john open || john open moving || john moving another || john another country || john john open moving || john open moving another || john moving another country || john john open moving another || john open moving another country || john john,0.1111111111111111,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,1.0,0.0,0.5
q00355,What attributes describe John?,7,What attributes describe John? || john attributes describe john || john attributes describe || john describe john || john attributes || john describe || john john,0.0136986301369863,0.0,0.0,0.0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00369,What job might Maria pursue in the future?,11,What job might Maria pursue in the future? || maria job maria pursue future || maria job maria || maria maria pursue || maria pursue future || maria job maria pursue || maria maria pursue future || maria job || maria maria || maria pursue || maria future,0.09090909090909091,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2857142857142857
q00498,Is it likely that Nate has friends besides Joanna?,7,Is it likely that Nate has friends besides Joanna? || nate joanna nate friends joanna || nate joanna nate friends || nate joanna joanna || nate joanna friends joanna || nate joanna nate || nate joanna friends,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00502,What pets wouldn't cause any discomfort to Joanna?,11,What pets wouldn't cause any discomfort to Joanna? || joanna pets wouldn discomfort joanna || joanna pets wouldn || joanna wouldn discomfort || joanna discomfort joanna || joanna pets wouldn discomfort || joanna wouldn discomfort joanna || joanna pets || joanna wouldn || joanna discomfort || joanna joanna,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00510,What underlying condition might Joanna have based on her allergies?,11,What underlying condition might Joanna have based on her allergies? || joanna underlying condition joanna allergies || joanna underlying condition joanna || joanna allergies || joanna underlying condition || joanna condition joanna || joanna joanna allergies || joanna condition joanna allergies || joanna underlying || joanna condition || joanna joanna,0.09090909090909091,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333
q00512,What nickname does Nate use for Joanna?,7,What nickname does Nate use for Joanna? || nate joanna nickname nate joanna || nate joanna nickname nate || nate joanna nate joanna || nate joanna nickname || nate joanna nate || nate joanna joanna,0.02857142857142857,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00558,What Console does Nate own?,4,What Console does Nate own? || nate console nate || nate console || nate nate,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00564,What alternative career might Nate consider after gaming?,12,What alternative career might Nate consider after gaming? || nate alternative career nate consider after gaming || nate alternative career nate consider || nate gaming || nate alternative career || nate career nate || nate nate consider || nate consider after || nate after gaming || nate alternative career nate || nate career nate consider || nate nate consider after,0.08333333333333333,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25
q00566,How many hikes has Joanna been on?,11,How many hikes has Joanna been on? || joanna how many hikes joanna || joanna how many || joanna many hikes || joanna hikes joanna || joanna how many hikes || joanna many hikes joanna || joanna how || joanna many || joanna hikes || joanna joanna,0.02127659574468085,0.0,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00571,What state did Joanna visit in summer 2021?,12,What state did Joanna visit in summer 2021? || joanna state joanna visit summer 2021 || joanna state joanna || joanna joanna visit || joanna visit summer || joanna summer 2021 || joanna state joanna visit || joanna joanna visit summer || joanna visit summer 2021 || joanna state joanna visit summer || joanna joanna visit summer 2021 || joanna state,0.06666666666666667,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
q00582,Was the first half of September 2022 a good month career-wise for Nate and Joanna? Answer yes or no.,12,Was the first half of September 2022 a good month career-wise for Nate and Joanna? Answer yes or no. || nate joanna first half september 2022 good month career wise nate joanna answer yes || nate joanna first half september 2022 good month career wise nate || nate joanna joanna answer yes || nate joanna first half || nate joanna half september || nate joanna september 2022 || nate joanna 2022 good || nate joanna good month || nate joanna month career || nate joanna career wise || nate joanna wise nate,0.022222222222222223,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00583,What kind of job is Joanna beginning to preform the duties of because of her movie scripts?,12,What kind of job is Joanna beginning to preform the duties of because of her movie scripts? || joanna kind job joanna beginning preform duties because movie scripts || joanna kind job joanna beginning preform duties || joanna movie scripts || joanna kind job || joanna job joanna || joanna joanna beginning || joanna beginning preform || joanna preform duties || joanna duties because || joanna because movie || joanna kind job joanna,0.027777777777777776,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00585,What state did Nate visit?,7,What state did Nate visit? || nate state nate visit || nate state nate || nate nate visit || nate state || nate nate || nate visit,0.018867924528301886,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00761,Would Tim enjoy reading books by C. S. Lewis or John Greene?,12,Would Tim enjoy reading books by C. S. Lewis or John Greene? || john tim tim enjoy reading books lewis john greene || john tim tim enjoy reading books lewis || john tim john greene || john tim tim enjoy || john tim enjoy reading || john tim reading books || john tim books lewis || john tim lewis john || john tim tim enjoy reading || john tim enjoy reading books || john tim reading books lewis,0.00546448087431694,0.0,0.0,0.0,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00763,"Based on Tim's collections, what is a shop that he would enjoy visiting in New York city?",12,"Based on Tim's collections, what is a shop that he would enjoy visiting in New York city? || tim tim collections shop enjoy visiting new york city || tim tim collections || tim collections shop || tim shop enjoy || tim enjoy visiting || tim visiting new || tim new york || tim york city || tim tim collections shop || tim collections shop enjoy || tim shop enjoy visiting",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00766,Which outdoor gear company likely signed up John for an endorsement deal?,12,Which outdoor gear company likely signed up John for an endorsement deal? || john outdoor gear company signed john endorsement deal || john outdoor gear || john gear company || john company signed || john signed john || john john endorsement || john endorsement deal || john outdoor gear company || john gear company signed || john company signed john || john signed john endorsement,0.25,0.0,0.0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5
q00773,Who is Anthony?,2,Who is Anthony? || anthony,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q00777,What is a prominent charity organization that John might want to work with and why?,12,What is a prominent charity organization that John might want to work with and why? || john prominent charity organization john want work || john prominent charity || john charity organization || john organization john || john john want || john want work || john prominent charity organization || john charity organization john || john organization john want || john john want work || john prominent charity organization john,0.09090909090909091,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.125
q00785,Which popular time management technique does Tim use to prepare for exams?,12,Which popular time management technique does Tim use to prepare for exams? || tim popular time management technique tim prepare exams || tim popular time || tim time management || tim management technique || tim technique tim || tim tim prepare || tim prepare exams || tim popular time management || tim time management technique || tim management technique tim || tim technique tim prepare,0.07142857142857142,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5
q00786,Which popular music composer's tunes does Tim enjoy playing on the piano?,12,Which popular music composer's tunes does Tim enjoy playing on the piano? || tim popular music composer tunes tim enjoy playing piano || tim popular music || tim music composer || tim composer tunes || tim tunes tim || tim tim enjoy || tim enjoy playing || tim playing piano || tim popular music composer || tim music composer tunes || tim composer tunes tim,0.02,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00790,Which US states might Tim be in during September 2023 based on his plans of visiting Universal Studios?,12,Which US states might Tim be in during September 2023 based on his plans of visiting Universal Studios? || tim states tim during september 2023 plans visiting universal studios || tim states tim during september 2023 || tim plans visiting universal studios || tim states tim || tim tim during || tim during september || tim september 2023 || tim 2023 plans || tim plans visiting || tim visiting universal || tim universal studios,0.25,0.0,0.0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666
q00792,What could John do after his basketball career?,12,What could John do after his basketball career? || john could john after basketball career || john could john || john basketball career || john john after || john after basketball || john could john after || john john after basketball || john after basketball career || john could john after basketball || john john after basketball career || john could,0.25,0.0,0.0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,1.0,0.0,0.2,1.0,0.0,0.2
q00809,What kind of yoga for building core strength might John benefit from?,12,What kind of yoga for building core strength might John benefit from? || john kind yoga building core strength john benefit || john kind yoga || john yoga building || john building core || john core strength || john strength john || john john benefit || john kind yoga building || john yoga building core || john building core strength || john core strength john,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q00811,What other exercises can help John with his basketball performance?,12,What other exercises can help John with his basketball performance? || john other exercises can help john basketball performance || john other exercises || john exercises can || john can help || john help john || john john basketball || john basketball performance || john other exercises can || john exercises can help || john can help john || john help john basketball,0.02631578947368421,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00824,What is a Star Wars book that Tim might enjoy?,12,What is a Star Wars book that Tim might enjoy? || tim star wars book tim enjoy || tim star wars || tim wars book || tim book tim || tim tim enjoy || tim star wars book || tim wars book tim || tim book tim enjoy || tim star wars book tim || tim wars book tim enjoy || tim star,1.0,1.0,1.0,1.0,1,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q00825,What would be a good hobby related to his travel dreams for Tim to pick up?,12,What would be a good hobby related to his travel dreams for Tim to pick up? || tim good hobby related travel dreams tim pick || tim good hobby || tim hobby related || tim related travel || tim travel dreams || tim dreams tim || tim tim pick || tim good hobby related || tim hobby related travel || tim related travel dreams || tim travel dreams tim,0.02702702702702703,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q00828,Which Star Wars-related locations would Tim enjoy during his visit to Ireland?,12,Which Star Wars-related locations would Tim enjoy during his visit to Ireland? || tim star wars related locations tim enjoy during visit ireland || tim star wars || tim wars related || tim related locations || tim locations tim || tim tim enjoy || tim enjoy during || tim during visit || tim visit ireland || tim star wars related || tim wars related locations,1.0,1.0,1.0,1.0,1,1.0,0.0,0.2,1.0,0.0,0.2,1.0,0.0,0.2,1.0,0.0,0.2,1.0,0.0,0.4
q01019,What is an indoor activity that Andrew would enjoy doing while make his dog happy?,12,What is an indoor activity that Andrew would enjoy doing while make his dog happy? || andrew indoor activity andrew enjoy doing while make dog happy || andrew indoor activity || andrew activity andrew || andrew andrew enjoy || andrew enjoy doing || andrew doing while || andrew while make || andrew make dog || andrew dog happy || andrew indoor activity andrew || andrew activity andrew enjoy,0.08333333333333333,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666
q01020,Which meat does Audrey prefer eating more than others?,12,Which meat does Audrey prefer eating more than others? || audrey meat audrey prefer eating others || audrey meat audrey prefer eating || audrey others || audrey meat audrey || audrey audrey prefer || audrey prefer eating || audrey eating others || audrey meat audrey prefer || audrey audrey prefer eating || audrey prefer eating others || audrey audrey prefer eating others,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q01033,What can Andrew potentially do to improve his stress and accomodate his living situation with his dogs?,12,What can Andrew potentially do to improve his stress and accomodate his living situation with his dogs? || andrew can andrew potentially improve stress accomodate living situation dogs || andrew can andrew potentially improve stress || andrew accomodate living situation dogs || andrew can andrew || andrew andrew potentially || andrew potentially improve || andrew improve stress || andrew stress accomodate || andrew accomodate living || andrew living situation || andrew situation dogs,0.037037037037037035,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q01043,Which US state do Audrey and Andrew potentially live in?,12,Which US state do Audrey and Andrew potentially live in? || andrew audrey state audrey andrew potentially live || andrew audrey state audrey || andrew audrey andrew potentially live || andrew audrey audrey andrew || andrew audrey andrew potentially || andrew audrey potentially live || andrew audrey state audrey andrew || andrew audrey audrey andrew potentially || andrew audrey state audrey andrew potentially || andrew audrey audrey andrew potentially live || andrew audrey state,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q01044,Which national park could Audrey and Andrew be referring to in their conversations?,12,Which national park could Audrey and Andrew be referring to in their conversations? || andrew audrey national park could audrey andrew referring conversations || andrew audrey national park could audrey || andrew audrey andrew referring conversations || andrew audrey national park || andrew audrey park could || andrew audrey could audrey || andrew audrey audrey andrew || andrew audrey andrew referring || andrew audrey referring conversations || andrew audrey national park could || andrew audrey park could audrey,0.5,0.0,1.0,1.0,2,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333
q01052,What is something that Andrew could do to make birdwatching hobby to fit in his city schedule?,12,What is something that Andrew could do to make birdwatching hobby to fit in his city schedule? || andrew something andrew could make birdwatching hobby fit city schedule || andrew something andrew || andrew andrew could || andrew could make || andrew make birdwatching || andrew birdwatching hobby || andrew hobby fit || andrew fit city || andrew city schedule || andrew something andrew could || andrew andrew could make,0.09090909090909091,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333
q01053,What is a career that Andrew could potentially pursue with his love for animals and nature?,12,What is a career that Andrew could potentially pursue with his love for animals and nature? || andrew career andrew could potentially pursue love animals nature || andrew career andrew could potentially pursue love animals || andrew nature || andrew career andrew || andrew andrew could || andrew could potentially || andrew potentially pursue || andrew pursue love || andrew love animals || andrew animals nature || andrew career andrew could,0.125,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,1.0,0.0,0.4
q01158,What are John's suspected health problems?,11,What are John's suspected health problems? || john john suspected health problems || john john suspected || john suspected health || john health problems || john john suspected health || john suspected health problems || john john || john suspected || john health || john problems,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q01164,Does James live in Connecticut?,7,Does James live in Connecticut? || james james live connecticut || james james live || james live connecticut || james james || james live || james connecticut,0.07692307692307693,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5
q01165,In which state is the shelter from which James adopted the puppy?,12,In which state is the shelter from which James adopted the puppy? || james state shelter james adopted puppy || james state shelter || james shelter james || james james adopted || james adopted puppy || james state shelter james || james shelter james adopted || james james adopted puppy || james state shelter james adopted || james shelter james adopted puppy || james state,0.5,0.0,1.0,1.0,2,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0
q01170,Did James have a girlfriend during April 2022?,12,Did James have a girlfriend during April 2022? || james james girlfriend during april 2022 || james james girlfriend || james girlfriend during || james during april || james april 2022 || james james girlfriend during || james girlfriend during april || james during april 2022 || james james girlfriend during april || james girlfriend during april 2022 || james james,0.018518518518518517,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q01175,What is the board game where you have to find the imposter that John mentions to James?,12,What is the board game where you have to find the imposter that John mentions to James? || john james board game you find imposter john mentions james || john james board game || john james game you || john james you find || john james find imposter || john james imposter john || john james john mentions || john james mentions james || john james board game you || john james game you find || john james you find imposter,0.008403361344537815,0.0,0.0,0.0,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q01177,Was James feeling lonely before meeting Samantha?,12,Was James feeling lonely before meeting Samantha? || samantha james james feeling lonely before meeting samantha || samantha james james feeling || samantha james feeling lonely || samantha james lonely before || samantha james before meeting || samantha james meeting samantha || samantha james james feeling lonely || samantha james feeling lonely before || samantha james lonely before meeting || samantha james before meeting samantha || samantha james james feeling lonely before,0.01282051282051282,0.0,0.0,0.0,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q01183,Are John and James fans of the same football team?,12,Are John and James fans of the same football team? || john james john james fans same football team || john james john || john james james fans same football team || john james john james || john james james fans || john james fans same || john james same football || john james football team || john james john james fans || john james james fans same || john james fans same football,0.1111111111111111,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333
q01188,Which country did James book tickets for in July 2022?,12,Which country did James book tickets for in July 2022? || james country james book tickets july 2022 || james country james || james james book || james book tickets || james tickets july || james july 2022 || james country james book || james james book tickets || james book tickets july || james tickets july 2022 || james country james book tickets,0.2,0.0,0.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,1.0,0.0,0.25,1.0,0.0,0.5
q01191,Did John and James study together?,11,Did John and James study together? || john james john james study together || john james john || john james james study together || john james john james || john james james study || john james study together || john james john james study || john james james || john james study || john james together,0.034482758620689655,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q01193,What additional country did James visit during his trip to Canada?,12,What additional country did James visit during his trip to Canada? || james additional country james visit during trip canada || james additional country || james country james || james james visit || james visit during || james during trip || james trip canada || james additional country james || james country james visit || james james visit during || james visit during trip,0.0625,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
q01194,Who is Jill?,2,Who is Jill? || jill,1.0,1.0,1.0,1.0,1,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q01202,Why didn't John want to go to Starbucks?,11,Why didn't John want to go to Starbucks? || john didn john want starbucks || john didn john || john john want || john want starbucks || john didn john want || john john want starbucks || john didn || john john || john want || john starbucks,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q01353,In what country did Jolene's mother buy her the pendant?,12,In what country did Jolene's mother buy her the pendant? || jolene country jolene mother buy pendant || jolene country jolene || jolene jolene mother || jolene mother buy || jolene buy pendant || jolene country jolene mother || jolene jolene mother buy || jolene mother buy pendant || jolene country jolene mother buy || jolene jolene mother buy pendant || jolene country,0.3333333333333333,0.0,1.0,1.0,3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
q01359,Is Deborah married?,4,Is Deborah married? || deborah deborah married || deborah deborah || deborah married,0.5,0.0,1.0,1.0,2,0.0,0.0,0.0,1.0,0.0,0.4,1.0,0.0,0.4,1.0,0.0,0.4,1.0,0.0,0.6
q01366,In what country did Jolene buy snake Seraphim?,12,In what country did Jolene buy snake Seraphim? || jolene country jolene buy snake seraphim || jolene country jolene || jolene jolene buy || jolene buy snake || jolene snake seraphim || jolene country jolene buy || jolene jolene buy snake || jolene buy snake seraphim || jolene country jolene buy snake || jolene jolene buy snake seraphim || jolene country,0.041666666666666664,0.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q01371,Why did Jolene sometimes put off doing yoga?,12,Why did Jolene sometimes put off doing yoga? || jolene jolene sometimes put off doing yoga || jolene jolene sometimes || jolene sometimes put || jolene put off || jolene off doing || jolene doing yoga || jolene jolene sometimes put || jolene sometimes put off || jolene put off doing || jolene off doing yoga || jolene jolene sometimes put off,0.008130081300813009,0.0,0.0,0.0,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
