split_seed,query_id,query,num_facets,facets,num_facet_candidates,num_gold
13,q01165,In which state is the shelter from which James adopted the puppy?,4,original:In which state is the shelter from which James adopted the puppy? || content:james state shelter james adopted puppy || intent:james place location live move || intent_content:james place location live move state shelter james adopted puppy,78,2
13,q01170,Did James have a girlfriend during April 2022?,4,original:Did James have a girlfriend during April 2022? || content:james james girlfriend during april 2022 || intent:james person relationship family identity || intent_content:james person relationship family identity james girlfriend during april 2022,77,1
13,q01175,What is the board game where you have to find the imposter that John mentions to James?,4,original:What is the board game where you have to find the imposter that John mentions to James? || content:james john board game you find imposter john mentions james || intent:james john place location live move || intent_content:james john place location live move board game you find imposter john mentions james,81,1
13,q01183,Are John and James fans of the same football team?,3,original:Are John and James fans of the same football team? || content:james john john james fans same football team || clause:james john james fans same football team,72,3
13,q01188,Which country did James book tickets for in July 2022?,4,original:Which country did James book tickets for in July 2022? || content:james country james book tickets july 2022 || intent:james place location live move || intent_content:james place location live move country james book tickets july 2022,79,4
13,q01191,Did John and James study together?,5,original:Did John and James study together? || content:james john john james study together || clause:james john james study together || intent:james john career education work goal plan || intent_content:james john career education work goal plan john james study together,87,1
13,q01193,What additional country did James visit during his trip to Canada?,4,original:What additional country did James visit during his trip to Canada? || content:james additional country james visit during trip canada || intent:james place location live move || intent_content:james place location live move additional country james visit during trip canada,82,1
13,q01194,Who is Jill?,4,original:Who is Jill? || content:jill || intent:person relationship family identity || intent_content:person relationship family identity jill,107,2
13,q01384,How old is Jolene?,2,original:How old is Jolene? || content:jolene old jolene,64,17
13,q01592,Which country was Evan visiting in May 2023?,4,original:Which country was Evan visiting in May 2023? || content:evan country evan visiting may 2023 || intent:evan place location live move || intent_content:evan place location live move country evan visiting may 2023,79,1
13,q01607,"In light of the health and dietary changes discussed, what would be an appropriate gift for both Evan and Sam to encourage their healthy lifestyles?",5,"original:In light of the health and dietary changes discussed, what would be an appropriate gift for both Evan and Sam to encourage their healthy lifestyles? || content:evan sam light health dietary changes discussed appropriate gift both evan sam encourage healthy lifestyles || clause:evan sam light health || clause:evan sam dietary changes discussed appropriate gift both evan || clause:evan sam sam encourage healthy lifestyles",85,17
13,q01630,How often does Sam get health checkups?,2,original:How often does Sam get health checkups? || content:sam often sam get health checkups,48,4
13,q01644,Which US state was Sam travelling in during October 2023?,4,original:Which US state was Sam travelling in during October 2023? || content:sam state sam travelling during october 2023 || intent:sam place location live move || intent_content:sam place location live move state sam travelling during october 2023,77,1
13,q01790,Does Dave's shop employ a lot of people?,2,original:Does Dave's shop employ a lot of people? || content:dave dave shop employ lot people,62,2
17,q00023,Would Caroline likely have Dr. Seuss books on her bookshelf?,4,original:Would Caroline likely have Dr. Seuss books on her bookshelf? || content:caroline caroline seuss books bookshelf || intent:caroline preference hobby enjoy || intent_content:caroline preference hobby enjoy caroline seuss books bookshelf,82,2
17,q00060,Would Caroline be considered religious?,2,original:Would Caroline be considered religious? || content:caroline caroline considered religious,48,4
17,q00065,"Would Melanie likely enjoy the song ""The Four Seasons"" by Vivaldi?",4,"original:Would Melanie likely enjoy the song ""The Four Seasons"" by Vivaldi? || content:melanie melanie enjoy song four seasons vivaldi || intent:melanie preference hobby enjoy || intent_content:melanie preference hobby enjoy melanie enjoy song four seasons vivaldi",77,1
17,q00070,What personality traits might Melanie say Caroline has?,2,original:What personality traits might Melanie say Caroline has? || content:caroline melanie personality traits melanie say caroline,60,1
17,q00322,What might John's degree be in?,2,original:What might John's degree be in? || content:john john degree,72,3
17,q00498,Is it likely that Nate has friends besides Joanna?,6,original:Is it likely that Nate has friends besides Joanna? || content:joanna nate nate friends besides joanna || clause:joanna nate nate friends || intent:joanna nate person relationship family identity || intent_content:joanna nate person relationship family identity nate friends besides joanna || intent:joanna nate preference hobby enjoy,78,1
17,q00502,What pets wouldn't cause any discomfort to Joanna?,4,original:What pets wouldn't cause any discomfort to Joanna? || content:joanna pets wouldn cause any discomfort joanna || intent:joanna reason motive cause decision || intent_content:joanna reason motive cause decision pets wouldn cause any discomfort joanna,78,1
17,q00510,What underlying condition might Joanna have based on her allergies?,3,original:What underlying condition might Joanna have based on her allergies? || content:joanna underlying condition joanna based allergies || clause:joanna underlying condition joanna,65,3
17,q00583,What kind of job is Joanna beginning to preform the duties of because of her movie scripts?,6,original:What kind of job is Joanna beginning to preform the duties of because of her movie scripts? || content:joanna job joanna beginning preform duties because movie scripts || clause:joanna job joanna beginning preform duties || clause:joanna movie scripts || intent:joanna reason motive cause decision || intent_content:joanna reason motive cause decision job joanna beginning preform duties because movie scripts,89,2
17,q00761,Would Tim enjoy reading books by C. S. Lewis or John Greene?,6,original:Would Tim enjoy reading books by C. S. Lewis or John Greene? || content:john tim tim enjoy reading books lewis john greene || clause:john tim tim enjoy reading books lewis || clause:john tim john greene || intent:john tim preference hobby enjoy || intent_content:john tim preference hobby enjoy tim enjoy reading books lewis john greene,95,3
17,q00766,Which outdoor gear company likely signed up John for an endorsement deal?,4,original:Which outdoor gear company likely signed up John for an endorsement deal? || content:john outdoor gear company signed john endorsement deal || intent:john preference hobby enjoy || intent_content:john preference hobby enjoy outdoor gear company signed john endorsement deal,93,2
17,q00824,What is a Star Wars book that Tim might enjoy?,4,original:What is a Star Wars book that Tim might enjoy? || content:tim star wars book tim enjoy || intent:tim preference hobby enjoy || intent_content:tim preference hobby enjoy star wars book tim enjoy,59,2
17,q01164,Does James live in Connecticut?,4,original:Does James live in Connecticut? || content:james james live connecticut || intent:james place location live move || intent_content:james place location live move james live connecticut,76,2
17,q01170,Did James have a girlfriend during April 2022?,4,original:Did James have a girlfriend during April 2022? || content:james james girlfriend during april 2022 || intent:james person relationship family identity || intent_content:james person relationship family identity james girlfriend during april 2022,77,1
17,q01177,Was James feeling lonely before meeting Samantha?,6,original:Was James feeling lonely before meeting Samantha? || content:james samantha james feeling lonely before meeting samantha || clause:james samantha james feeling lonely || clause:james samantha meeting samantha || intent:james samantha emotion support experience || intent_content:james samantha emotion support experience james feeling lonely before meeting samantha,77,1
17,q01183,Are John and James fans of the same football team?,3,original:Are John and James fans of the same football team? || content:james john john james fans same football team || clause:james john james fans same football team,72,3
17,q01193,What additional country did James visit during his trip to Canada?,4,original:What additional country did James visit during his trip to Canada? || content:james additional country james visit during trip canada || intent:james place location live move || intent_content:james place location live move additional country james visit during trip canada,82,1
17,q01353,In what country did Jolene's mother buy her the pendant?,6,original:In what country did Jolene's mother buy her the pendant? || content:jolene country jolene mother buy pendant || intent:jolene place location live move || intent_content:jolene place location live move country jolene mother buy pendant || intent:jolene person relationship family identity || intent_content:jolene person relationship family identity country jolene mother buy pendant,89,1
17,q01371,Why did Jolene sometimes put off doing yoga?,6,original:Why did Jolene sometimes put off doing yoga? || content:jolene jolene sometimes put off doing yoga || intent:jolene reason motive cause decision || intent_content:jolene reason motive cause decision jolene sometimes put off doing yoga || intent:jolene time date event recent || intent_content:jolene time date event recent jolene sometimes put off doing yoga,81,2
17,q01592,Which country was Evan visiting in May 2023?,4,original:Which country was Evan visiting in May 2023? || content:evan country evan visiting may 2023 || intent:evan place location live move || intent_content:evan place location live move country evan visiting may 2023,79,1
17,q01606,"Considering their conversations and personal growth, what advice might Evan and Sam give to someone facing a major life transition or challenge?",5,"original:Considering their conversations and personal growth, what advice might Evan and Sam give to someone facing a major life transition or challenge? || content:evan sam considering conversations personal growth advice evan sam give someone facing major life transition challenge || clause:evan sam considering conversations || clause:evan sam personal growth advice evan || clause:evan sam sam give someone facing major life transition",74,9
17,q01658,Which major holiday season conincides with Evan's wedding?,2,original:Which major holiday season conincides with Evan's wedding? || content:evan major holiday season conincides evan wedding,72,1
17,q01804,Does Calvin wish to become more popular?,2,original:Does Calvin wish to become more popular? || content:calvin calvin wish become more popular,66,5
23,q00051,What would Caroline's political leaning likely be?,4,original:What would Caroline's political leaning likely be? || content:caroline caroline political leaning || intent:caroline preference hobby enjoy || intent_content:caroline preference hobby enjoy caroline political leaning,72,2
23,q00078,Would Melanie go on another roadtrip soon?,2,original:Would Melanie go on another roadtrip soon? || content:melanie melanie another roadtrip soon,53,2
23,q00082,Would Caroline want to move back to her home country soon?,4,original:Would Caroline want to move back to her home country soon? || content:caroline caroline want move back home country soon || intent:caroline place location live move || intent_content:caroline place location live move caroline want move back home country soon,79,3
23,q00313,What might John's financial status be?,2,original:What might John's financial status be? || content:john john financial status,68,1
23,q00319,Would John be considered a patriotic person?,2,original:Would John be considered a patriotic person? || content:john john considered patriotic person,72,2
23,q00322,What might John's degree be in?,2,original:What might John's degree be in? || content:john john degree,72,3
23,q00502,What pets wouldn't cause any discomfort to Joanna?,4,original:What pets wouldn't cause any discomfort to Joanna? || content:joanna pets wouldn cause any discomfort joanna || intent:joanna reason motive cause decision || intent_content:joanna reason motive cause decision pets wouldn cause any discomfort joanna,78,1
23,q00510,What underlying condition might Joanna have based on her allergies?,3,original:What underlying condition might Joanna have based on her allergies? || content:joanna underlying condition joanna based allergies || clause:joanna underlying condition joanna,65,3
23,q00564,What alternative career might Nate consider after gaming?,5,original:What alternative career might Nate consider after gaming? || content:nate alternative career nate consider after gaming || clause:nate alternative career nate consider || intent:nate career education work goal plan || intent_content:nate career education work goal plan alternative career nate consider after gaming,73,4
23,q00585,What state did Nate visit?,4,original:What state did Nate visit? || content:nate state nate visit || intent:nate place location live move || intent_content:nate place location live move state nate visit,66,2
23,q00809,What kind of yoga for building core strength might John benefit from?,2,original:What kind of yoga for building core strength might John benefit from? || content:john yoga building core strength john benefit,62,1
23,q00811,What other exercises can help John with his basketball performance?,2,original:What other exercises can help John with his basketball performance? || content:john other exercises can help john basketball performance,59,3
23,q00828,Which Star Wars-related locations would Tim enjoy during his visit to Ireland?,6,original:Which Star Wars-related locations would Tim enjoy during his visit to Ireland? || content:tim star wars related locations tim enjoy during visit ireland || intent:tim place location live move || intent_content:tim place location live move star wars related locations tim enjoy during visit ireland || intent:tim preference hobby enjoy || intent_content:tim preference hobby enjoy star wars related locations tim enjoy during visit ireland,74,5
23,q01052,What is something that Andrew could do to make birdwatching hobby to fit in his city schedule?,6,original:What is something that Andrew could do to make birdwatching hobby to fit in his city schedule? || content:andrew something andrew could make birdwatching hobby fit city schedule || intent:andrew place location live move || intent_content:andrew place location live move something andrew could make birdwatching hobby fit city schedule || intent:andrew preference hobby enjoy || intent_content:andrew preference hobby enjoy something andrew could make birdwatching hobby fit city schedule,96,3
23,q01053,What is a career that Andrew could potentially pursue with his love for animals and nature?,6,original:What is a career that Andrew could potentially pursue with his love for animals and nature? || content:andrew career andrew could potentially pursue love animals nature || clause:andrew career andrew could potentially pursue love animals || intent:andrew career education work goal plan || intent_content:andrew career education work goal plan career andrew could potentially pursue love animals nature || intent:andrew preference hobby enjoy,104,5
23,q01170,Did James have a girlfriend during April 2022?,4,original:Did James have a girlfriend during April 2022? || content:james james girlfriend during april 2022 || intent:james person relationship family identity || intent_content:james person relationship family identity james girlfriend during april 2022,77,1
23,q01194,Who is Jill?,4,original:Who is Jill? || content:jill || intent:person relationship family identity || intent_content:person relationship family identity jill,107,2
23,q01592,Which country was Evan visiting in May 2023?,4,original:Which country was Evan visiting in May 2023? || content:evan country evan visiting may 2023 || intent:evan place location live move || intent_content:evan place location live move country evan visiting may 2023,79,1
23,q01597,"Which type of vacation would Evan prefer with his family, walking tours in metropolitan cities or camping trip in the outdoors?",6,"original:Which type of vacation would Evan prefer with his family, walking tours in metropolitan cities or camping trip in the outdoors? || content:evan type vacation evan prefer family walking tours metropolitan cities camping trip outdoors || clause:evan type vacation evan prefer family walking tours metropolitan cities || clause:evan camping trip outdoors || intent:evan person relationship family identity || intent_content:evan person relationship family identity type vacation evan prefer family walking tours metropolitan cities camping trip outdoors",90,5
23,q01652,Does Evan live close to a beach or mountains?,5,original:Does Evan live close to a beach or mountains? || content:evan evan live close beach mountains || clause:evan evan live close beach || intent:evan place location live move || intent_content:evan place location live move evan live close beach mountains,76,2
23,q01804,Does Calvin wish to become more popular?,2,original:Does Calvin wish to become more popular? || content:calvin calvin wish become more popular,66,5
23,q01820,Does Calvin love music tours?,4,original:Does Calvin love music tours? || content:calvin calvin love music tours || intent:calvin preference hobby enjoy || intent_content:calvin preference hobby enjoy calvin love music tours,77,8
29,q00023,Would Caroline likely have Dr. Seuss books on her bookshelf?,4,original:Would Caroline likely have Dr. Seuss books on her bookshelf? || content:caroline caroline seuss books bookshelf || intent:caroline preference hobby enjoy || intent_content:caroline preference hobby enjoy caroline seuss books bookshelf,82,2
29,q00043,Would Melanie be more interested in going to a national park or a theme park?,4,original:Would Melanie be more interested in going to a national park or a theme park? || content:melanie melanie more interested going national park theme park || clause:melanie melanie more interested going national park || clause:melanie theme park,71,2
29,q00051,What would Caroline's political leaning likely be?,4,original:What would Caroline's political leaning likely be? || content:caroline caroline political leaning || intent:caroline preference hobby enjoy || intent_content:caroline preference hobby enjoy caroline political leaning,72,2
29,q00313,What might John's financial status be?,2,original:What might John's financial status be? || content:john john financial status,68,1
29,q00319,Would John be considered a patriotic person?,2,original:Would John be considered a patriotic person? || content:john john considered patriotic person,72,2
29,q00355,What attributes describe John?,2,original:What attributes describe John? || content:john attributes describe john,54,5
29,q00510,What underlying condition might Joanna have based on her allergies?,3,original:What underlying condition might Joanna have based on her allergies? || content:joanna underlying condition joanna based allergies || clause:joanna underlying condition joanna,65,3
29,q00512,What nickname does Nate use for Joanna?,2,original:What nickname does Nate use for Joanna? || content:joanna nate nickname nate use joanna,57,1
29,q00571,What state did Joanna visit in summer 2021?,4,original:What state did Joanna visit in summer 2021? || content:joanna state joanna visit summer 2021 || intent:joanna place location live move || intent_content:joanna place location live move state joanna visit summer 2021,87,1
29,q00582,Was the first half of September 2022 a good month career-wise for Nate and Joanna? Answer yes or no.,6,original:Was the first half of September 2022 a good month career-wise for Nate and Joanna? Answer yes or no. || content:joanna nate first half september 2022 good month career wise nate joanna answer yes || clause:joanna nate first half september 2022 good month career wise nate || clause:joanna nate joanna answer yes || intent:joanna nate career education work goal plan || intent_content:joanna nate career education work goal plan first half september 2022 good month career wise nate joanna answer yes,87,4
29,q00585,What state did Nate visit?,4,original:What state did Nate visit? || content:nate state nate visit || intent:nate place location live move || intent_content:nate place location live move state nate visit,66,2
29,q00773,Who is Anthony?,4,original:Who is Anthony? || content:anthony || intent:person relationship family identity || intent_content:person relationship family identity anthony,115,1
29,q00785,Which popular time management technique does Tim use to prepare for exams?,4,original:Which popular time management technique does Tim use to prepare for exams? || content:tim popular time management technique tim use prepare exams || intent:tim time date event recent || intent_content:tim time date event recent popular time management technique tim use prepare exams,74,2
29,q00786,Which popular music composer's tunes does Tim enjoy playing on the piano?,4,original:Which popular music composer's tunes does Tim enjoy playing on the piano? || content:tim popular music composer tunes tim enjoy playing piano || intent:tim preference hobby enjoy || intent_content:tim preference hobby enjoy popular music composer tunes tim enjoy playing piano,73,2
29,q00790,Which US states might Tim be in during September 2023 based on his plans of visiting Universal Studios?,6,original:Which US states might Tim be in during September 2023 based on his plans of visiting Universal Studios? || content:tim states tim during september 2023 based plans visiting universal studios || clause:tim states tim during september 2023 || clause:tim plans visiting universal studios || intent:tim place location live move || intent_content:tim place location live move states tim during september 2023 based plans visiting universal studios,80,3
29,q00792,What could John do after his basketball career?,6,original:What could John do after his basketball career? || content:john could john after basketball career || clause:john could john || clause:john basketball career || intent:john career education work goal plan || intent_content:john career education work goal plan could john after basketball career,114,5
29,q00824,What is a Star Wars book that Tim might enjoy?,4,original:What is a Star Wars book that Tim might enjoy? || content:tim star wars book tim enjoy || intent:tim preference hobby enjoy || intent_content:tim preference hobby enjoy star wars book tim enjoy,59,2
29,q00828,Which Star Wars-related locations would Tim enjoy during his visit to Ireland?,6,original:Which Star Wars-related locations would Tim enjoy during his visit to Ireland? || content:tim star wars related locations tim enjoy during visit ireland || intent:tim place location live move || intent_content:tim place location live move star wars related locations tim enjoy during visit ireland || intent:tim preference hobby enjoy || intent_content:tim preference hobby enjoy star wars related locations tim enjoy during visit ireland,74,5
29,q01020,Which meat does Audrey prefer eating more than others?,4,original:Which meat does Audrey prefer eating more than others? || content:audrey meat audrey prefer eating more than others || intent:audrey preference hobby enjoy || intent_content:audrey preference hobby enjoy meat audrey prefer eating more than others,70,2
29,q01194,Who is Jill?,4,original:Who is Jill? || content:jill || intent:person relationship family identity || intent_content:person relationship family identity jill,107,2
29,q01202,Why didn't John want to go to Starbucks?,4,original:Why didn't John want to go to Starbucks? || content:john didn john want starbucks || intent:john reason motive cause decision || intent_content:john reason motive cause decision didn john want starbucks,93,1
29,q01388,Does Deborah live close to the beach or the mountains?,5,original:Does Deborah live close to the beach or the mountains? || content:deborah deborah live close beach mountains || clause:deborah deborah live close beach || intent:deborah place location live move || intent_content:deborah place location live move deborah live close beach mountains,82,1
29,q01396,Which US state did Jolene visit during her internship?,4,original:Which US state did Jolene visit during her internship? || content:jolene state jolene visit during internship || intent:jolene place location live move || intent_content:jolene place location live move state jolene visit during internship,81,1
29,q01423,What card game is Deborah talking about?,2,original:What card game is Deborah talking about? || content:deborah card game deborah talking about,58,2
29,q01592,Which country was Evan visiting in May 2023?,4,original:Which country was Evan visiting in May 2023? || content:evan country evan visiting may 2023 || intent:evan place location live move || intent_content:evan place location live move country evan visiting may 2023,79,1
29,q01597,"Which type of vacation would Evan prefer with his family, walking tours in metropolitan cities or camping trip in the outdoors?",6,"original:Which type of vacation would Evan prefer with his family, walking tours in metropolitan cities or camping trip in the outdoors? || content:evan type vacation evan prefer family walking tours metropolitan cities camping trip outdoors || clause:evan type vacation evan prefer family walking tours metropolitan cities || clause:evan camping trip outdoors || intent:evan person relationship family identity || intent_content:evan person relationship family identity type vacation evan prefer family walking tours metropolitan cities camping trip outdoors",90,5
29,q01614,What electronic device could Evan gift Sam to help him keep up with his fitness goals?,2,original:What electronic device could Evan gift Sam to help him keep up with his fitness goals? || content:evan sam electronic device could evan gift sam help him keep fitness goals,53,2
29,q01652,Does Evan live close to a beach or mountains?,5,original:Does Evan live close to a beach or mountains? || content:evan evan live close beach mountains || clause:evan evan live close beach || intent:evan place location live move || intent_content:evan place location live move evan live close beach mountains,76,2
29,q01787,Which country do Calvin and Dave want to meet in?,6,original:Which country do Calvin and Dave want to meet in? || content:calvin dave country calvin dave want meet || clause:calvin dave country calvin || clause:calvin dave dave want meet || intent:calvin dave place location live move || intent_content:calvin dave place location live move country calvin dave want meet,81,3
31,q00028,Would Caroline pursue writing as a career option?,6,original:Would Caroline pursue writing as a career option? || content:caroline caroline pursue writing career option || clause:caroline caroline pursue writing || clause:caroline career option || intent:caroline career education work goal plan || intent_content:caroline career education work goal plan caroline pursue writing career option,69,2
31,q00043,Would Melanie be more interested in going to a national park or a theme park?,4,original:Would Melanie be more interested in going to a national park or a theme park? || content:melanie melanie more interested going national park theme park || clause:melanie melanie more interested going national park || clause:melanie theme park,71,2
31,q00065,"Would Melanie likely enjoy the song ""The Four Seasons"" by Vivaldi?",4,"original:Would Melanie likely enjoy the song ""The Four Seasons"" by Vivaldi? || content:melanie melanie enjoy song four seasons vivaldi || intent:melanie preference hobby enjoy || intent_content:melanie preference hobby enjoy melanie enjoy song four seasons vivaldi",77,1
31,q00313,What might John's financial status be?,2,original:What might John's financial status be? || content:john john financial status,68,1
31,q00319,Would John be considered a patriotic person?,2,original:Would John be considered a patriotic person? || content:john john considered patriotic person,72,2
31,q00350,Would John be open to moving to another country?,4,original:Would John be open to moving to another country? || content:john john open moving another country || intent:john place location live move || intent_content:john place location live move john open moving another country,92,4
31,q00502,What pets wouldn't cause any discomfort to Joanna?,4,original:What pets wouldn't cause any discomfort to Joanna? || content:joanna pets wouldn cause any discomfort joanna || intent:joanna reason motive cause decision || intent_content:joanna reason motive cause decision pets wouldn cause any discomfort joanna,78,1
31,q00558,What Console does Nate own?,2,original:What Console does Nate own? || content:nate console nate own,56,1
31,q00564,What alternative career might Nate consider after gaming?,5,original:What alternative career might Nate consider after gaming? || content:nate alternative career nate consider after gaming || clause:nate alternative career nate consider || intent:nate career education work goal plan || intent_content:nate career education work goal plan alternative career nate consider after gaming,73,4
31,q00566,How many hikes has Joanna been on?,2,original:How many hikes has Joanna been on? || content:joanna many hikes joanna,72,3
31,q00583,What kind of job is Joanna beginning to preform the duties of because of her movie scripts?,6,original:What kind of job is Joanna beginning to preform the duties of because of her movie scripts? || content:joanna job joanna beginning preform duties because movie scripts || clause:joanna job joanna beginning preform duties || clause:joanna movie scripts || intent:joanna reason motive cause decision || intent_content:joanna reason motive cause decision job joanna beginning preform duties because movie scripts,89,2
31,q00773,Who is Anthony?,4,original:Who is Anthony? || content:anthony || intent:person relationship family identity || intent_content:person relationship family identity anthony,115,1
31,q00777,What is a prominent charity organization that John might want to work with and why?,6,original:What is a prominent charity organization that John might want to work with and why? || content:john prominent charity organization john want work || intent:john reason motive cause decision || intent_content:john reason motive cause decision prominent charity organization john want work || intent:john career education work goal plan || intent_content:john career education work goal plan prominent charity organization john want work,106,8
31,q00786,Which popular music composer's tunes does Tim enjoy playing on the piano?,4,original:Which popular music composer's tunes does Tim enjoy playing on the piano? || content:tim popular music composer tunes tim enjoy playing piano || intent:tim preference hobby enjoy || intent_content:tim preference hobby enjoy popular music composer tunes tim enjoy playing piano,73,2
31,q00790,Which US states might Tim be in during September 2023 based on his plans of visiting Universal Studios?,6,original:Which US states might Tim be in during September 2023 based on his plans of visiting Universal Studios? || content:tim states tim during september 2023 based plans visiting universal studios || clause:tim states tim during september 2023 || clause:tim plans visiting universal studios || intent:tim place location live move || intent_content:tim place location live move states tim during september 2023 based plans visiting universal studios,80,3
31,q00811,What other exercises can help John with his basketball performance?,2,original:What other exercises can help John with his basketball performance? || content:john other exercises can help john basketball performance,59,3
31,q00828,Which Star Wars-related locations would Tim enjoy during his visit to Ireland?,6,original:Which Star Wars-related locations would Tim enjoy during his visit to Ireland? || content:tim star wars related locations tim enjoy during visit ireland || intent:tim place location live move || intent_content:tim place location live move star wars related locations tim enjoy during visit ireland || intent:tim preference hobby enjoy || intent_content:tim preference hobby enjoy star wars related locations tim enjoy during visit ireland,74,5
31,q01019,What is an indoor activity that Andrew would enjoy doing while make his dog happy?,6,original:What is an indoor activity that Andrew would enjoy doing while make his dog happy? || content:andrew indoor activity andrew enjoy doing while make dog happy || clause:andrew indoor activity andrew enjoy doing || clause:andrew make dog happy || intent:andrew preference hobby enjoy || intent_content:andrew preference hobby enjoy indoor activity andrew enjoy doing while make dog happy,88,3
31,q01043,Which US state do Audrey and Andrew potentially live in?,6,original:Which US state do Audrey and Andrew potentially live in? || content:andrew audrey state audrey andrew potentially live || clause:andrew audrey state audrey || clause:andrew audrey andrew potentially live || intent:andrew audrey place location live move || intent_content:andrew audrey place location live move state audrey andrew potentially live,82,1
31,q01052,What is something that Andrew could do to make birdwatching hobby to fit in his city schedule?,6,original:What is something that Andrew could do to make birdwatching hobby to fit in his city schedule? || content:andrew something andrew could make birdwatching hobby fit city schedule || intent:andrew place location live move || intent_content:andrew place location live move something andrew could make birdwatching hobby fit city schedule || intent:andrew preference hobby enjoy || intent_content:andrew preference hobby enjoy something andrew could make birdwatching hobby fit city schedule,96,3
31,q01053,What is a career that Andrew could potentially pursue with his love for animals and nature?,6,original:What is a career that Andrew could potentially pursue with his love for animals and nature? || content:andrew career andrew could potentially pursue love animals nature || clause:andrew career andrew could potentially pursue love animals || intent:andrew career education work goal plan || intent_content:andrew career education work goal plan career andrew could potentially pursue love animals nature || intent:andrew preference hobby enjoy,104,5
31,q01158,What are John's suspected health problems?,2,original:What are John's suspected health problems? || content:john john suspected health problems,73,1
31,q01164,Does James live in Connecticut?,4,original:Does James live in Connecticut? || content:james james live connecticut || intent:james place location live move || intent_content:james place location live move james live connecticut,76,2
31,q01175,What is the board game where you have to find the imposter that John mentions to James?,4,original:What is the board game where you have to find the imposter that John mentions to James? || content:james john board game you find imposter john mentions james || intent:james john place location live move || intent_content:james john place location live move board game you find imposter john mentions james,81,1
31,q01366,In what country did Jolene buy snake Seraphim?,4,original:In what country did Jolene buy snake Seraphim? || content:jolene country jolene buy snake seraphim || intent:jolene place location live move || intent_content:jolene place location live move country jolene buy snake seraphim,71,1
31,q01418,Is the friend who wrote Deborah the motivational quote no longer alive?,6,original:Is the friend who wrote Deborah the motivational quote no longer alive? || content:deborah friend wrote deborah motivational quote longer alive || intent:deborah place location live move || intent_content:deborah place location live move friend wrote deborah motivational quote longer alive || intent:deborah person relationship family identity || intent_content:deborah person relationship family identity friend wrote deborah motivational quote longer alive,98,1
31,q01423,What card game is Deborah talking about?,2,original:What card game is Deborah talking about? || content:deborah card game deborah talking about,58,2
31,q01796,Would Calvin enjoy performing at the Hollywood Bowl?,4,original:Would Calvin enjoy performing at the Hollywood Bowl? || content:calvin calvin enjoy performing hollywood bowl || intent:calvin preference hobby enjoy || intent_content:calvin preference hobby enjoy calvin enjoy performing hollywood bowl,88,1
